ORF	gene	length.prot	classification	label
YDR307W	PMT7	662	Uncharacterized	other
YDR308C	SRB7	140	Verified	other
YDR309C	GIC2	383	Verified	other
YDR310C	SUM1	1062	Verified	other
YDR311W	TFB1	642	Verified	other
YDR312W	SSF2	453	Verified	translation
YDR313C	PIB1	286	Verified	other
YDR314C	RAD34	692	Verified	other
YDR315C	IPK1	281	Verified	other
YDR316W	OMS1	471	Verified	other
YDR317W	HIM1	414	Verified	other
YDR318W	MCM21	368	Verified	other
YDR319C	YFT2	274	Uncharacterized	other
YDR320C	SWA2	668	Verified	other
YDR320C-A	DAD4	72	Verified	other
YDR320W-B	YDR320W-B	45	Dubious	other
YDR321W	ASP1	381	Verified	other
YDR322C-A	TIM11	96	Verified	other
YDR322W	MRPL35	367	Verified	other
YDR323C	PEP7	515	Verified	other
YDR324C	UTP4	776	Verified	translation
YDR325W	YCG1	1035	Verified	other
YDR326C	YSP2	1438	Verified	other
YDR327W	YDR327W	108	Dubious	other
YDR328C	SKP1	194	Verified	other
YDR329C	PEX3	441	Verified	other
YDR330W	UBX5	500	Verified	other
YDR331W	GPI8	411	Verified	other
YDR332W	IRC3	689	Verified	other
YDR333C	RQC1	723	Verified	other
YDR334W	SWR1	1514	Verified	other
YDR335W	MSN5	1224	Verified	other
YDR336W	MRX8	314	Uncharacterized	other
YDR337W	MRPS28	286	Verified	other
YDR338C	YDR338C	695	Uncharacterized	other
YDR339C	FCF1	189	Verified	translation
YDR340W	YDR340W	100	Dubious	other
YDR341C	YDR341C	607	Verified	other
YDR342C	HXT7	570	Verified	other
YDR343C	HXT6	570	Verified	other
YDR344C	YDR344C	147	Uncharacterized	other
YDR345C	HXT3	567	Verified	other
YDR346C	SVF1	481	Verified	other
YDR347W	MRP1	321	Verified	other
YDR348C	PAL1	499	Verified	other
YDR349C	YPS7	596	Verified	other
YDR350C	ATP22	684	Verified	other
YDR351W	SBE2	864	Verified	other
YDR352W	YPQ2	317	Verified	other
YDR353W	TRR1	319	Verified	other
YDR354C-A	YDR354C-A	47	Dubious	other
YDR354W	TRP4	380	Verified	other
YDR355C	YDR355C	100	Dubious	other
YDR356W	SPC110	944	Verified	other
YDR357C	CNL1	122	Verified	other
YDR358W	GGA1	557	Verified	other
YDR359C	EAF1	982	Verified	other
YDR360W	OPI7	144	Dubious	other
YDR361C	BCP1	283	Verified	other
YDR362C	TFC6	672	Verified	other
YDR363W	ESC2	456	Verified	other
YDR363W-A	SEM1	89	Verified	other
YDR364C	CDC40	455	Verified	other
YDR365C	ESF1	628	Verified	translation
YDR366C	YDR366C	132	Uncharacterized	other
YDR367W	KEI1	221	Verified	other
YDR368W	YPR1	312	Verified	other
YDR369C	XRS2	854	Verified	other
YDR370C	DXO1	442	Verified	other
YDR371C-A	YDR371C-A	34	Dubious	other
YDR371W	CTS2	511	Uncharacterized	other
YDR372C	VPS74	345	Verified	other
YDR373W	FRQ1	190	Verified	other
YDR374C	PHO92	306	Verified	other
YDR374W-A	WIP1	89	Verified	other
YDR375C	BCS1	456	Verified	other
YDR376W	ARH1	493	Verified	other
YDR377W	ATP17	101	Verified	other
YDR378C	LSM6	86	Verified	other
YDR379C-A	SDH6	79	Verified	other
YDR379W	RGA2	1009	Verified	other
YDR380W	ARO10	635	Verified	other
YDR381C-A	YDR381C-A	114	Verified	other
YDR381W	YRA1	226	Verified	other
YDR382W	RPP2B	110	Verified	translation
YDR383C	NKP1	238	Verified	other
YDR384C	ATO3	275	Verified	other
YDR385W	EFT2	842	Verified	translation
YDR386W	MUS81	632	Verified	other
YDR387C	CIN10	555	Uncharacterized	other
YDR388W	RVS167	482	Verified	other
YDR389W	SAC7	654	Verified	other
YDR390C	UBA2	636	Verified	other
YDR391C	YDR391C	232	Uncharacterized	other
YDR392W	SPT3	337	Verified	other
YDR393W	SHE9	456	Verified	other
YDR394W	RPT3	428	Verified	other
YDR395W	SXM1	944	Verified	other
YDR396W	YDR396W	166	Dubious	other
YDR397C	NCB2	146	Verified	other
YDR398W	UTP5	643	Verified	translation
YDR399W	HPT1	221	Verified	other
YDR400W	URH1	340	Verified	other
YDR401W	YDR401W	187	Dubious	other
YDR402C	DIT2	489	Verified	other
YDR403W	DIT1	536	Verified	other
YDR404C	RPB7	171	Verified	other
YDR405W	MRP20	263	Verified	other
YDR406W	PDR15	1529	Verified	other
YDR406W-A	YDR406W-A	81	Dubious	other
YDR407C	TRS120	1289	Verified	other
YDR408C	ADE8	214	Verified	other
YDR409W	SIZ1	904	Verified	other
YDR410C	STE14	239	Verified	other
YDR411C	DFM1	341	Verified	other
YDR412W	RRP17	235	Verified	translation
YDR413C	YDR413C	191	Dubious	other
YDR414C	ERD1	362	Verified	other
YDR415C	YDR415C	374	Uncharacterized	other
YDR416W	SYF1	859	Verified	other
YDR417C	YDR417C	123	Dubious	other
YDR418W	RPL12B	165	Verified	translation
YDR419W	RAD30	632	Verified	other
YDR420W	HKR1	1802	Verified	other
YDR421W	ARO80	950	Verified	other
YDR422C	SIP1	815	Verified	other
YDR423C	CAD1	409	Verified	other
YDR424C	DYN2	92	Verified	other
YDR425W	SNX41	625	Verified	other
YDR426C	YDR426C	125	Dubious	other
YDR427W	RPN9	393	Verified	other
YDR428C	BNA7	261	Verified	other
YDR429C	TIF35	274	Verified	translation
YDR430C	CYM1	989	Verified	other
YDR431W	YDR431W	103	Dubious	other
YDR432W	NPL3	414	Verified	translation
YDR433W	YDR433W	146	Dubious	other
YDR434W	GPI17	534	Verified	other
YDR435C	PPM1	328	Verified	other
YDR436W	PPZ2	710	Verified	MSN2/4
YDR437W	GPI19	140	Verified	other
YDR438W	THI74	370	Verified	other
YDR439W	LRS4	347	Verified	other
YDR440W	DOT1	582	Verified	other
YDR441C	APT2	181	Verified	other
YDR442W	YDR442W	130	Dubious	other
YDR443C	SSN2	1420	Verified	other
YDR444W	YDR444W	687	Uncharacterized	other
YDR445C	YDR445C	135	Dubious	other
YDR446W	ECM11	302	Verified	other
YDR447C	RPS17B	136	Verified	translation
YDR448W	ADA2	434	Verified	other
YDR449C	UTP6	440	Verified	translation
YDR450W	RPS18A	146	Verified	translation
YDR451C	YHP1	353	Verified	MSN2/4
YDR452W	PPN1	674	Verified	other
YDR453C	TSA2	196	Verified	MSN2/4
YDR454C	GUK1	187	Verified	other
YDR455C	YDR455C	102	Dubious	other
YDR456W	NHX1	633	Verified	other
YDR457W	TOM1	3268	Verified	other
YDR458C	HEH2	663	Verified	other
YDR459C	PFA5	374	Verified	other
YDR460W	TFB3	321	Verified	other
YDR461C-A	YDR461C-A	80	Uncharacterized	other
YDR461W	MFA1	36	Verified	other
YDR462W	MRPL28	147	Verified	other
YDR463W	STP1	519	Verified	other
YDR464C-A	YDR464C-A	62	Dubious	other
YDR464W	SPP41	1435	Verified	other
YDR465C	RMT2	412	Verified	other
YDR466W	PKH3	898	Verified	other
YDR467C	YDR467C	108	Dubious	other
YDR468C	TLG1	224	Verified	other
YDR469W	SDC1	175	Verified	other
YDR470C	UGO1	502	Verified	other
YDR471W	RPL27B	136	Verified	translation
YDR472W	TRS31	283	Verified	other
YDR473C	PRP3	469	Verified	other
YDR475C	JIP4	876	Verified	other
YDR476C	YDR476C	224	Uncharacterized	other
YDR477W	SNF1	633	Verified	other
YDR478W	SNM1	198	Verified	other
YDR479C	PEX29	554	Verified	MSN2/4
YDR480W	DIG2	323	Verified	other
YDR481C	PHO8	566	Verified	other
YDR482C	CWC21	135	Verified	other
YDR483W	KRE2	442	Verified	other
YDR484W	VPS52	641	Verified	other
YDR485C	VPS72	795	Verified	other
YDR486C	VPS60	229	Verified	other
YDR487C	RIB3	208	Verified	other
YDR488C	PAC11	533	Verified	other
YDR489W	SLD5	294	Verified	other
YDR490C	PKH1	766	Verified	other
YDR491C	YDR491C	163	Dubious	other
YDR492W	IZH1	316	Verified	other
YDR493W	MZM1	123	Verified	other
YDR494W	RSM28	361	Verified	other
YDR495C	VPS3	1011	Verified	other
YDR496C	PUF6	656	Verified	translation
YDR497C	ITR1	584	Verified	other
YDR498C	SEC20	383	Verified	other
YDR499W	LCD1	747	Verified	other
YDR500C	RPL37B	88	Verified	translation
YDR501W	PLM2	521	Verified	other
YDR502C	SAM2	384	Verified	other
YDR503C	LPP1	274	Verified	other
YDR504C	SPG3	127	Verified	other
YDR505C	PSP1	841	Verified	other
YDR506C	GMC1	608	Verified	other
YDR507C	GIN4	1142	Verified	other
YDR508C	GNP1	663	Verified	other
YDR509W	YDR509W	115	Dubious	other
YDR510C-A	YDR510C-A	38	Dubious	other
YDR510W	SMT3	101	Verified	other
YDR511W	SDH7	133	Verified	other
YDR512C	EMI1	187	Verified	other
YDR513W	GRX2	143	Verified	other
YDR514C	YDR514C	483	Verified	other
YDR515W	SLF1	447	Verified	other
YDR516C	EMI2	500	Verified	other
YDR517W	GRH1	372	Verified	other
YDR518W	EUG1	517	Verified	other
YDR519W	FPR2	135	Verified	other
YDR520C	URC2	772	Uncharacterized	other
YDR521W	YDR521W	111	Dubious	other
YDR522C	SPS2	502	Verified	other
YDR523C	SPS1	490	Verified	other
YDR524C	AGE1	482	Verified	other
YDR524C-A	YDR524C-A	39	Dubious	other
YDR524C-B	YDR524C-B	66	Uncharacterized	other
YDR524W-C	YDR524W-C	29	Uncharacterized	other
YDR525W	API2	109	Uncharacterized	other
YDR525W-A	SNA2	79	Verified	MSN2/4
YDR526C	YDR526C	156	Dubious	other
YDR527W	RBA50	439	Verified	other
YDR528W	HLR1	423	Verified	other
YDR529C	QCR7	127	Verified	other
YDR530C	APA2	325	Verified	other
YDR531W	CAB1	367	Verified	other
YDR532C	KRE28	385	Verified	other
YDR533C	HSP31	237	Verified	MSN2/4
YDR534C	FIT1	528	Verified	other
YDR535C	YDR535C	166	Dubious	other
YDR536W	STL1	569	Verified	other
YDR537C	YDR537C	201	Dubious	other
YDR538W	PAD1	242	Verified	other
YDR539W	FDC1	503	Verified	other
YDR540C	IRC4	179	Verified	other
YDR541C	YDR541C	344	Verified	other
YDR542W	PAU10	120	Verified	other
YDR543C	YDR543C	99	Dubious	other
YDR544C	YDR544C	142	Dubious	other
YDR545C-A	YDR545C-A	159	Dubious	other
YDR545W	YRF1-1	1796	Verified	other
YEL001C	IRC22	225	Verified	other
YEL002C	WBP1	430	Verified	other
YEL003W	GIM4	111	Verified	other
YEL004W	YEA4	342	Verified	other
YEL005C	VAB2	282	Verified	other
YEL006W	YEA6	335	Verified	other
YEL007W	MIT1	666	Verified	other
YEL008C-A	YEL008C-A	30	Dubious	other
YEL008W	YEL008W	126	Uncharacterized	other
YEL009C	GCN4	281	Verified	other
YEL009C-A	YEL009C-A	135	Uncharacterized	other
YEL010W	YEL010W	116	Dubious	other
YEL011W	GLC3	704	Verified	MSN2/4
YEL012W	UBC8	218	Verified	other
YEL013W	VAC8	578	Verified	other
YEL014C	YEL014C	101	Uncharacterized	other
YEL015W	EDC3	551	Verified	other
YEL016C	NPP2	493	Verified	other
YEL017C-A	PMP2	43	Verified	other
YEL017W	GTT3	337	Verified	other
YEL018C-A	YEL018C-A	177	Dubious	other
YEL018W	EAF5	279	Verified	other
YEL019C	MMS21	267	Verified	other
YEL020C	PXP1	560	Verified	other
YEL020C-B	YEL020C-B	65	Dubious	other
YEL020W-A	TIM9	87	Verified	other
YEL021W	URA3	267	Verified	other
YEL022W	GEA2	1459	Verified	other
YEL023C	YEL023C	682	Uncharacterized	other
YEL024W	RIP1	215	Verified	other
YEL025C	YEL025C	1188	Uncharacterized	other
YEL026W	SNU13	126	Verified	translation
YEL027W	VMA3	160	Verified	other
YEL028W	YEL028W	153	Uncharacterized	other
YEL029C	BUD16	312	Verified	other
YEL030C-A	YEL030C-A	104	Dubious	other
YEL030W	ECM10	644	Verified	other
YEL031W	SPF1	1215	Verified	other
YEL032C-A	YEL032C-A	53	Dubious	other
YEL032W	MCM3	971	Verified	other
YEL033W	MTC7	139	Uncharacterized	other
YEL034C-A	YEL034C-A	200	Dubious	other
YEL034W	HYP2	157	Verified	translation
YEL035C	UTR5	166	Uncharacterized	other
YEL036C	ANP1	500	Verified	other
YEL037C	RAD23	398	Verified	other
YEL038W	UTR4	227	Verified	other
YEL039C	CYC7	113	Verified	other
YEL040W	UTR2	467	Verified	other
YEL041W	YEF1	495	Verified	other
YEL042W	GDA1	518	Verified	other
YEL043W	YEL043W	956	Verified	other
YEL044W	IES6	166	Verified	other
YEL045C	YEL045C	141	Dubious	other
YEL046C	GLY1	387	Verified	other
YEL047C	FRD1	470	Verified	other
YEL048C	TCA17	152	Verified	other
YEL049W	PAU2	120	Verified	other
YEL050C	RML2	393	Verified	other
YEL050W-A	YEL050W-A	63	Dubious	other
YEL051W	VMA8	256	Verified	other
YEL052W	AFG1	509	Verified	other
YEL053C	MAK10	733	Verified	other
YEL053W-A	YEL053W-A	115	Dubious	other
YEL054C	RPL12A	165	Verified	translation
YEL055C	POL5	1022	Verified	other
YEL056W	HAT2	401	Verified	other
YEL057C	SDD1	233	Verified	other
YEL058W	PCM1	557	Verified	other
YEL059C-A	SOM1	74	Verified	other
YEL059W	HHY1	102	Dubious	other
YEL060C	PRB1	635	Verified	MSN2/4
YEL061C	CIN8	1000	Verified	other
YEL062W	NPR2	615	Verified	other
YEL063C	CAN1	590	Verified	other
YEL064C	AVT2	480	Verified	other
YEL065W	SIT1	628	Verified	other
YEL066W	HPA3	179	Verified	other
YEL067C	YEL067C	195	Uncharacterized	other
YEL068C	YEL068C	110	Uncharacterized	other
YEL069C	HXT13	564	Verified	other
YEL070W	DSF1	502	Verified	other
YEL071W	DLD3	496	Verified	other
YEL072W	RMD6	231	Verified	other
YEL073C	YEL073C	107	Uncharacterized	other
YEL074W	YEL074W	112	Dubious	other
YEL075C	YEL075C	122	Uncharacterized	other
YEL075W-A	YEL075W-A	203	Dubious	other
YEL076C	YEL076C	216	Uncharacterized	other
YEL076C-A	YEL076C-A	216	Uncharacterized	other
YEL077C	YEL077C	1277	Uncharacterized	other
YEL077W-A	YEL077W-A	160	Dubious	other
YER001W	MNN1	762	Verified	other
YER002W	NOP16	231	Verified	translation
YER003C	PMI40	429	Verified	other
YER004W	FMP52	231	Verified	other
YER005W	YND1	630	Verified	other
YER006C-A	YER006C-A	105	Dubious	other
YER006W	NUG1	520	Verified	translation
YER007C-A	TMA20	181	Verified	translation
YER007W	PAC2	518	Verified	other
YER008C	SEC3	1336	Verified	other
YER009W	NTF2	125	Verified	other
YER010C	YER010C	234	Verified	other
YER011W	TIR1	254	Verified	other
YER012W	PRE1	198	Verified	other
YER013W	PRP22	1145	Verified	other
YER014C-A	BUD25	153	Verified	other
YER014W	HEM14	539	Verified	other
YER015W	FAA2	744	Verified	other
YER016W	BIM1	344	Verified	other
YER017C	AFG3	761	Verified	other
YER018C	SPC25	221	Verified	other
YER019C-A	SBH2	88	Verified	other
YER019W	ISC1	477	Verified	other
YER020W	GPA2	449	Verified	other
YER021W	RPN3	523	Verified	other
YER022W	SRB4	687	Verified	other
YER023C-A	YER023C-A	70	Dubious	other
YER023W	PRO3	286	Verified	other
YER024W	YAT2	923	Verified	other
YER025W	GCD11	527	Verified	translation
YER026C	CHO1	276	Verified	other
YER027C	GAL83	417	Verified	other
YER028C	MIG3	394	Verified	other
YER029C	SMB1	196	Verified	other
YER030W	CHZ1	153	Verified	other
YER031C	YPT31	223	Verified	other
YER032W	FIR1	876	Verified	other
YER033C	ZRG8	1076	Verified	other
YER034W	YER034W	185	Verified	other
YER035W	EDC2	145	Verified	MSN2/4
YER036C	ARB1	610	Verified	translation
YER037W	PHM8	321	Verified	other
YER038C	KRE29	464	Verified	other
YER038W-A	FMP49	126	Uncharacterized	other
YER039C	HVG1	249	Verified	other
YER039C-A	YER039C-A	72	Uncharacterized	other
YER040W	GLN3	730	Verified	other
YER041W	YEN1	759	Verified	other
YER042W	MXR1	184	Verified	other
YER043C	SAH1	449	Verified	other
YER044C	ERG28	148	Verified	other
YER044C-A	MEI4	408	Verified	other
YER045C	ACA1	489	Verified	other
YER046W	SPO73	143	Verified	other
YER046W-A	YER046W-A	109	Dubious	other
YER047C	SAP1	897	Verified	other
YER048C	CAJ1	391	Verified	other
YER048W-A	ISD11	94	Verified	other
YER049W	TPA1	644	Verified	other
YER050C	RSM18	138	Verified	other
YER051W	JHD1	492	Verified	other
YER052C	HOM3	527	Verified	other
YER053C	PIC2	300	Verified	MSN2/4
YER053C-A	YER053C-A	37	Verified	MSN2/4
YER054C	GIP2	548	Verified	MSN2/4
YER055C	HIS1	297	Verified	other
YER056C	FCY2	533	Verified	other
YER056C-A	RPL34A	121	Verified	translation
YER057C	HMF1	129	Verified	other
YER058W	PET117	107	Verified	MSN2/4
YER059W	PCL6	420	Verified	other
YER060W	FCY21	528	Verified	other
YER060W-A	FCY22	530	Verified	other
YER061C	CEM1	442	Verified	other
YER062C	GPP2	250	Verified	other
YER063W	THO1	218	Verified	other
YER064C	VHR2	505	Verified	other
YER065C	ICL1	557	Verified	other
YER066C-A	YER066C-A	166	Dubious	other
YER066W	RRT13	185	Uncharacterized	other
YER067C-A	YER067C-A	107	Dubious	other
YER067W	RGI1	161	Verified	MSN2/4
YER068C-A	YER068C-A	143	Dubious	other
YER068W	MOT2	587	Verified	other
YER069W	ARG5%2C6	863	Verified	other
YER070W	RNR1	888	Verified	other
YER071C	TDA2	126	Uncharacterized	other
YER072W	VTC1	129	Verified	other
YER073W	ALD5	520	Verified	glycolysis
YER074W	RPS24A	135	Verified	translation
YER074W-A	YOS1	85	Verified	other
YER075C	PTP3	928	Verified	other
YER076C	YER076C	302	Uncharacterized	other
YER076W-A	YER076W-A	115	Dubious	other
YER077C	MRX1	688	Uncharacterized	other
YER078C	ICP55	511	Verified	other
YER078W-A	YER078W-A	54	Uncharacterized	other
YER079C-A	YER079C-A	112	Dubious	other
YER079W	YER079W	210	Uncharacterized	other
YER080W	AIM9	627	Verified	other
YER081W	SER3	469	Verified	other
YER082C	UTP7	554	Verified	translation
YER083C	GET2	285	Verified	other
YER084W	YER084W	128	Uncharacterized	other
YER084W-A	YER084W-A	170	Dubious	other
YER085C	YER085C	173	Uncharacterized	other
YER086W	ILV1	576	Verified	other
YER087C-A	YER087C-A	183	Dubious	other
YER087C-B	SBH1	82	Verified	other
YER087W	AIM10	576	Verified	other
YER088C	DOT6	670	Verified	other
YER088C-A	YER088C-A	107	Dubious	other
YER088W-B	YER088W-B	48	Dubious	other
YER089C	PTC2	464	Verified	other
YER090C-A	YER090C-A	29	Dubious	other
YER090W	TRP2	507	Verified	other
YER091C	MET6	767	Verified	other
YER091C-A	YER091C-A	73	Dubious	other
YER092W	IES5	125	Verified	other
YER093C	TSC11	1430	Verified	other
YER093C-A	AIM11	137	Verified	other
YER094C	PUP3	205	Verified	other
YER095W	RAD51	400	Verified	other
YER096W	SHC1	512	Verified	MSN2/4
YER097W	YER097W	109	Dubious	other
YER098W	UBP9	754	Verified	other
YER099C	PRS2	318	Verified	other
YER100W	UBC6	250	Verified	other
YER101C	AST2	430	Verified	other
YER102W	RPS8B	200	Verified	translation
YER103W	SSA4	642	Verified	HSF1
YER104W	RTT105	208	Verified	other
YER105C	NUP157	1391	Verified	other
YER106W	MAM1	302	Verified	other
YER107C	GLE2	365	Verified	other
YER107W-A	YER107W-A	106	Dubious	other
YER110C	KAP123	1113	Verified	other
YER111C	SWI4	1093	Verified	other
YER112W	LSM4	187	Verified	other
YER113C	TMN3	706	Verified	other
YER114C	BOI2	1040	Verified	other
YER115C	SPR6	191	Verified	other
YER116C	SLX8	274	Verified	other
YER117W	RPL23B	137	Verified	translation
YER118C	SHO1	367	Verified	other
YER119C	AVT6	448	Verified	other
YER119C-A	YER119C-A	123	Dubious	other
YER120W	SCS2	244	Verified	other
YER121W	YER121W	114	Uncharacterized	other
YER122C	GLO3	493	Verified	other
YER123W	YCK3	524	Verified	other
YER124C	DSE1	573	Verified	other
YER125W	RSP5	809	Verified	other
YER126C	NSA2	261	Verified	translation
YER127W	LCP5	357	Verified	translation
YER128W	VFA1	203	Verified	other
YER129W	SAK1	1142	Verified	other
YER130C	COM2	443	Verified	other
YER131W	RPS26B	119	Verified	translation
YER132C	PMD1	1753	Verified	other
YER133W	GLC7	312	Verified	other
YER133W-A	YER133W-A	113	Dubious	other
YER134C	YER134C	178	Verified	other
YER135C	YER135C	130	Uncharacterized	other
YER136W	GDI1	451	Verified	other
YER137C	YER137C	148	Uncharacterized	other
YER137W-A	YER137W-A	101	Dubious	other
YER138W-A	YER138W-A	34	Uncharacterized	other
YER139C	RTR1	226	Verified	other
YER140W	EMP65	556	Verified	other
YER141W	COX15	486	Verified	other
YER142C	MAG1	296	Verified	other
YER143W	DDI1	428	Verified	other
YER144C	UBP5	805	Verified	other
YER145C	FTR1	404	Verified	other
YER145C-A	YER145C-A	145	Uncharacterized	other
YER146W	LSM5	93	Verified	other
YER147C	SCC4	624	Verified	other
YER147C-A	YER147C-A	136	Dubious	other
YER148W	SPT15	240	Verified	other
YER148W-A	YER148W-A	192	Dubious	other
YER149C	PEA2	420	Verified	other
YER150W	SPI1	148	Verified	HSF1
YER151C	UBP3	912	Verified	other
YER152C	YER152C	443	Verified	other
YER152W-A	YER152W-A	188	Dubious	other
YER153C	PET122	254	Verified	other
YER154W	OXA1	402	Verified	other
YER155C	BEM2	2167	Verified	other
YER156C	YER156C	338	Uncharacterized	other
YER157W	COG3	801	Verified	other
YER158C	YER158C	573	Uncharacterized	other
YER158W-A	YER158W-A	71	Dubious	other
YER159C	BUR6	142	Verified	other
YER161C	SPT2	333	Verified	other
YER162C	RAD4	754	Verified	other
YER163C	GCG1	232	Verified	other
YER164W	CHD1	1468	Verified	other
YER165C-A	YER165C-A	118	Dubious	other
YER165W	PAB1	577	Verified	other
YER166W	DNF1	1571	Verified	other
YER167W	BCK2	851	Verified	other
YER168C	CCA1	546	Verified	other
YER169W	RPH1	796	Verified	other
YER170W	ADK2	225	Verified	other
YER171W	RAD3	778	Verified	other
YER172C	BRR2	2163	Verified	other
YER172C-A	YER172C-A	126	Dubious	other
YER173W	RAD24	659	Verified	other
YER174C	GRX4	244	Verified	other
YER175C	TMT1	299	Verified	other
YER175W-A	YER175W-A	54	Uncharacterized	other
YER176W	ECM32	1121	Verified	other
YER177W	BMH1	267	Verified	other
YER178W	PDA1	420	Verified	other
YER179W	DMC1	334	Verified	other
YER180C	ISC10	267	Verified	other
YER180C-A	SLO1	85	Verified	other
YER181C	YER181C	107	Verified	other
YER182W	FMP10	244	Uncharacterized	MSN2/4
YER183C	FAU1	211	Verified	other
YER184C	TOG1	794	Verified	other
YER185W	PUG1	303	Verified	other
YER186C	YER186C	306	Uncharacterized	other
YER187W	YER187W	141	Uncharacterized	other
YER188C-A	YER188C-A	99	Uncharacterized	other
YER188W	YER188W	239	Uncharacterized	other
YER189W	YER189W	122	Uncharacterized	other
YER190C-A	YER190C-A	191	Dubious	other
YER190C-B	YER190C-B	160	Uncharacterized	other
YER190W	YRF1-2	1681	Verified	other
YFL001W	DEG1	442	Verified	other
YFL002C	SPB4	606	Verified	translation
YFL003C	MSH4	878	Verified	other
YFL004W	VTC2	828	Verified	other
YFL005W	SEC4	215	Verified	other
YFL007W	BLM10	2143	Verified	other
YFL008W	SMC1	1225	Verified	other
YFL009W	CDC4	779	Verified	other
YFL010C	WWM1	211	Verified	other
YFL010W-A	AUA1	94	Verified	other
YFL011W	HXT10	546	Verified	other
YFL012W	YFL012W	148	Uncharacterized	other
YFL012W-A	YFL012W-A	124	Dubious	other
YFL013C	IES1	692	Verified	other
YFL013W-A	YFL013W-A	267	Dubious	other
YFL014W	HSP12	109	Verified	MSN2/4
YFL015C	YFL015C	164	Uncharacterized	other
YFL015W-A	YFL015W-A	105	Dubious	other
YFL016C	MDJ1	511	Verified	HSF1
YFL017C	GNA1	159	Verified	other
YFL017W-A	SMX2	77	Verified	other
YFL018C	LPD1	499	Verified	other
YFL019C	YFL019C	117	Uncharacterized	other
YFL020C	PAU5	122	Verified	other
YFL021C-A	YFL021C-A	284	Dubious	other
YFL021W	GAT1	510	Verified	other
YFL022C	FRS2	503	Verified	other
YFL023W	BUD27	796	Verified	other
YFL024C	EPL1	832	Verified	other
YFL025C	BST1	1029	Verified	other
YFL026W	STE2	431	Verified	other
YFL027C	GYP8	497	Verified	other
YFL028C	CAF16	289	Verified	other
YFL029C	CAK1	368	Verified	other
YFL030W	AGX1	385	Verified	MSN2/4
YFL031C-A	YFL031C-A	33	Dubious	other
YFL031W	HAC1	238	Verified	other
YFL032W	YFL032W	106	Dubious	other
YFL033C	RIM15	1770	Verified	other
YFL034C-A	RPL22B	122	Verified	translation
YFL034C-B	MOB2	287	Verified	other
YFL034W	MIL1	1073	Uncharacterized	other
YFL036W	RPO41	1351	Verified	other
YFL037W	TUB2	457	Verified	other
YFL038C	YPT1	206	Verified	other
YFL039C	ACT1	375	Verified	other
YFL040W	YFL040W	540	Uncharacterized	other
YFL041W	FET5	622	Verified	other
YFL041W-A	YFL041W-A	63	Uncharacterized	other
YFL042C	LAM5	674	Verified	other
YFL044C	OTU1	301	Verified	other
YFL045C	SEC53	254	Verified	other
YFL046W	FMP32	207	Verified	other
YFL047W	RGD2	714	Verified	other
YFL048C	EMP47	445	Verified	other
YFL049W	SWP82	623	Verified	other
YFL050C	ALR2	858	Verified	other
YFL051C	YFL051C	160	Uncharacterized	other
YFL052W	ZNF1	465	Verified	other
YFL053W	DAK2	591	Verified	other
YFL054C	AQY3	646	Uncharacterized	other
YFL055W	AGP3	558	Verified	other
YFL058W	THI5	340	Verified	other
YFL059W	SNZ3	298	Verified	other
YFL060C	SNO3	222	Verified	other
YFL061W	DDI2	225	Verified	other
YFL062W	COS4	379	Verified	other
YFL063W	YFL063W	151	Dubious	other
YFL064C	YFL064C	174	Uncharacterized	other
YFL065C	YFL065C	102	Uncharacterized	other
YFL066C	YFL066C	392	Uncharacterized	other
YFL067W	YFL067W	175	Uncharacterized	other
YFL068W	YFL068W	160	Uncharacterized	other
YFR001W	LOC1	204	Verified	translation
YFR002W	NIC96	839	Verified	other
YFR003C	YPI1	155	Verified	other
YFR004W	RPN11	306	Verified	other
YFR005C	SAD1	448	Verified	other
YFR006W	YFR006W	535	Uncharacterized	other
YFR007W	YFH7	353	Verified	other
YFR008W	FAR7	221	Verified	other
YFR009W	GCN20	752	Verified	translation
YFR009W-A	YFR009W-A	85	Dubious	other
YFR010W	UBP6	499	Verified	other
YFR010W-A	YFR010W-A	62	Dubious	other
YFR011C	MIC19	170	Verified	other
YFR012W	DCV1	202	Verified	other
YFR012W-A	YFR012W-A	28	Uncharacterized	other
YFR013W	IOC3	787	Verified	other
YFR014C	CMK1	446	Verified	other
YFR015C	GSY1	708	Verified	MSN2/4
YFR016C	YFR016C	1233	Verified	other
YFR017C	IGD1	195	Verified	MSN2/4
YFR018C	YFR018C	363	Uncharacterized	other
YFR019W	FAB1	2278	Verified	other
YFR020W	CSS2	232	Verified	other
YFR021W	ATG18	500	Verified	other
YFR022W	ROG3	733	Verified	other
YFR023W	PES4	611	Verified	other
YFR024C-A	LSB3	459	Verified	other
YFR025C	HIS2	335	Verified	other
YFR026C	ULI1	169	Verified	other
YFR027W	ECO1	281	Verified	other
YFR028C	CDC14	551	Verified	other
YFR029W	PTR3	678	Verified	other
YFR030W	MET10	1035	Verified	other
YFR031C	SMC2	1170	Verified	other
YFR031C-A	RPL2A	254	Verified	translation
YFR032C	RRT5	289	Uncharacterized	other
YFR032C-A	RPL29	59	Verified	translation
YFR032C-B	YFR032C-B	87	Uncharacterized	other
YFR033C	QCR6	147	Verified	other
YFR034C	PHO4	312	Verified	other
YFR034W-A	YFR034W-A	95	Dubious	other
YFR035C	YFR035C	114	Uncharacterized	other
