skORF	gene	ORF	kmORF
SKDZ_05G1070	EDC2	YER035W	NA
SKDZ_05G1080	ARB1	YER036C	KLMA_30677
SKDZ_05G1090	PHM8	YER037W	NA
SKDZ_05G1100	KRE29	YER038C	KLMA_30680
SKDZ_05G1110	HVG1	YER039C	KLMA_30681
SKDZ_05G1130	GLN3	YER040W	KLMA_30682
SKDZ_05G1140	YEN1	YER041W	KLMA_30683
SKDZ_05G1150	MXR1	YER042W	KLMA_30684
SKDZ_05G1160	SAH1	YER043C	KLMA_30687
SKDZ_05G1170	ERG28	YER044C	KLMA_20527
SKDZ_05G1180	MEI4	YER044C-A	NA
SKDZ_05G1190	ACA1	YER045C	KLMA_20524
SKDZ_05G1200	SPO73	YER046W	KLMA_20523
SKDZ_05G1210	SAP1	YER047C	KLMA_20519
SKDZ_05G1220	CAJ1	YER048C	KLMA_20517
SKDZ_05G1230	ISD11	YER048W-A	KLMA_20515
SKDZ_05G1240	TPA1	YER049W	KLMA_20514
SKDZ_05G1250	RSM18	YER050C	KLMA_20511
SKDZ_05G1260	JHD1	YER051W	KLMA_40344
SKDZ_05G1270	HOM3	YER052C	KLMA_40342
SKDZ_05G1280	PIC2	YER053C	NA
SKDZ_05G1290	YER053C-A	YER053C-A	NA
SKDZ_05G1300	GIP2	YER054C	NA
SKDZ_05G1310	HIS1	YER055C	KLMA_40338
SKDZ_05G1320	FCY2	YER056C	NA
SKDZ_05G1330	RPL34A	YER056C-A	KLMA_70190
SKDZ_05G1340	HMF1	YER057C	NA
SKDZ_05G1350	PET117	YER058W	KLMA_70188
SKDZ_05G1360	PCL6	YER059W	KLMA_70187
SKDZ_05G1370	FCY21	YER060W	NA
SKDZ_05G1380	FCY22	YER060W-A	NA
SKDZ_05G1390	CEM1	YER061C	KLMA_70184
SKDZ_05G1410	THO1	YER063W	KLMA_70182
SKDZ_05G1420	VHR2	YER064C	KLMA_70180
SKDZ_05G1430	ICL1	YER065C	KLMA_70179
SKDZ_05G1440	RGI1	YER067W	NA
SKDZ_05G1450	MOT2	YER068W	KLMA_70177
SKDZ_05G1460	ARG5,6	YER069W	KLMA_70175
SKDZ_05G1470	RNR1	YER070W	KLMA_70170
SKDZ_05G1480	TDA2	YER071C	NA
SKDZ_05G1490	VTC1	YER072W	KLMA_40403
SKDZ_05G1500	ALD5	YER073W	KLMA_40404
SKDZ_05G1510	RPS24A	YER074W	KLMA_40405
SKDZ_05G1520	PTP3	YER075C	KLMA_40406
SKDZ_05G1530	YER077C	YER077C	KLMA_40408
SKDZ_05G1540	ICP55	YER078C	KLMA_40410
SKDZ_05G1560	YER079W	YER079W	NA
SKDZ_05G1580	AIM9	YER080W	KLMA_40413
SKDZ_05G1590	SER3	YER081W	KLMA_30477
SKDZ_05G1600	UTP7	YER082C	KLMA_30479
SKDZ_05G1610	GET2	YER083C	KLMA_30483
SKDZ_05G1620	YER084W	YER084W	NA
SKDZ_05G1630	YER085C	YER085C	NA
SKDZ_05G1640	ILV1	YER086W	KLMA_50297
SKDZ_05G1650	AIM10	YER087W	KLMA_80336
SKDZ_05G1660	SBH1	YER087C-B	NA
SKDZ_05G1670	DOT6	YER088C	NA
SKDZ_05G1680	PTC2	YER089C	NA
SKDZ_05G1690	TRP2	YER090W	KLMA_80344
SKDZ_05G1710	MET6	YER091C	KLMA_80348
SKDZ_05G1720	IES5	YER092W	KLMA_80349
SKDZ_05G1730	TSC11	YER093C	KLMA_80350
SKDZ_05G1740	AIM11	YER093C-A	KLMA_80351
SKDZ_05G1750	PUP3	YER094C	KLMA_80354
SKDZ_05G1760	RAD51	YER095W	KLMA_80356
SKDZ_05G1770	SHC1	YER096W	KLMA_80357
SKDZ_05G1780	UBP9	YER098W	NA
SKDZ_05G1790	PRS2	YER099C	KLMA_80361
SKDZ_05G1800	UBC6	YER100W	KLMA_80362
SKDZ_05G1810	AST2	YER101C	KLMA_80363
SKDZ_05G1820	RPS8B	YER102W	KLMA_80365
SKDZ_05G1830	SSA4	YER103W	KLMA_80367
SKDZ_05G1840	RTT105	YER104W	NA
SKDZ_05G1850	NUP157	YER105C	NA
SKDZ_05G1860	MAM1	YER106W	NA
SKDZ_05G1870	GLE2	YER107C	KLMA_80377
SKDZ_05G1890	FLO8	YER109C	NA
SKDZ_05G1900	KAP123	YER110C	KLMA_80380
SKDZ_05G1910	SWI4	YER111C	KLMA_80381
SKDZ_05G1920	YER134C	YER134C	KLMA_40199
SKDZ_05G1930	GLC7	YER133W	KLMA_30142
SKDZ_05G1940	PMD1	YER132C	NA
SKDZ_05G1950	RPS26B	YER131W	KLMA_20492
SKDZ_05G1970	SAK1	YER129W	KLMA_20700
SKDZ_05G1980	VFA1	YER128W	KLMA_70416
SKDZ_05G1990	LCP5	YER127W	KLMA_70415
SKDZ_05G2000	NSA2	YER126C	KLMA_70414
SKDZ_05G2010	RSP5	YER125W	KLMA_70412
SKDZ_05G2020	DSE1	YER124C	KLMA_70411
SKDZ_05G2030	YCK3	YER123W	KLMA_70410
SKDZ_05G2040	GLO3	YER122C	NA
SKDZ_05G2050	YER121W	YER121W	NA
SKDZ_05G2060	SCS2	YER120W	NA
SKDZ_05G2070	AVT6	YER119C	KLMA_70152
SKDZ_05G2080	SHO1	YER118C	KLMA_70153
SKDZ_05G2090	RPL23B	YER117W	KLMA_70155
SKDZ_05G2100	SLX8	YER116C	KLMA_70156
SKDZ_05G2110	SPR6	YER115C	NA
SKDZ_05G2120	BOI2	YER114C	KLMA_80385
SKDZ_05G2130	TMN3	YER113C	KLMA_80383
SKDZ_05G2140	LSM4	YER112W	KLMA_80382
SKDZ_05G2150	GDI1	YER136W	KLMA_20294
SKDZ_05G2160	YER137C	YER137C	KLMA_20292
SKDZ_05G2170	RTR1	YER139C	KLMA_30134
SKDZ_05G2190	COX15	YER141W	KLMA_20033
SKDZ_05G2200	MAG1	YER142C	KLMA_20032
SKDZ_05G2210	DDI1	YER143W	KLMA_20031
SKDZ_05G2220	UBP5	YER144C	NA
SKDZ_05G2230	FTR1	YER145C	KLMA_30617
SKDZ_05G2250	LSM5	YER146W	KLMA_20025
SKDZ_05G2260	SCC4	YER147C	KLMA_20022
SKDZ_05G2270	SPT15	YER148W	KLMA_20021
SKDZ_05G2290	PEA2	YER149C	KLMA_20020
SKDZ_05G2300	SPI1	YER150W	NA
SKDZ_05G2310	UBP3	YER151C	KLMA_20429
SKDZ_05G2320	YER152C	YER152C	KLMA_20431
SKDZ_05G2340	PET122	YER153C	KLMA_20432
SKDZ_05G2350	OXA1	YER154W	KLMA_20433
SKDZ_05G2360	BEM2	YER155C	KLMA_20434
SKDZ_05G2370	YER156C	YER156C	KLMA_30376
SKDZ_05G2380	COG3	YER157W	KLMA_30374
SKDZ_05G2390	YER158C	YER158C	NA
SKDZ_05G2400	BUR6	YER159C	KLMA_60199
SKDZ_05G2410	SPT2	YER161C	KLMA_30174
SKDZ_05G2420	RAD4	YER162C	KLMA_30173
SKDZ_05G2440	CHD1	YER164W	NA
SKDZ_05G2450	PAB1	YER165W	KLMA_30299
SKDZ_05G2460	DNF1	YER166W	KLMA_30297
SKDZ_05G2480	BCK2	YER167W	KLMA_30296
SKDZ_05G2490	CCA1	YER168C	KLMA_30295
SKDZ_05G2500	RPH1	YER169W	KLMA_30294
SKDZ_05G2510	ADK2	YER170W	KLMA_30292
SKDZ_05G2520	RAD3	YER171W	KLMA_30290
SKDZ_05G2530	BRR2	YER172C	KLMA_30289
SKDZ_05G2540	RAD24	YER173W	KLMA_30288
SKDZ_05G2550	GRX4	YER174C	NA
SKDZ_05G2560	TMT1	YER175C	KLMA_30285
SKDZ_05G2570	ECM32	YER176W	NA
SKDZ_05G2580	BMH1	YER177W	KLMA_20132
SKDZ_05G2590	PDA1	YER178W	KLMA_20172
SKDZ_05G2600	DMC1	YER179W	KLMA_20174
SKDZ_05G2610	ISC10	YER180C	NA
SKDZ_05G2620	SLO1	YER180C-A	KLMA_20178
SKDZ_05G2630	FMP10	YER182W	KLMA_10512
SKDZ_05G2640	FAU1	YER183C	KLMA_10513
SKDZ_06G0040	THI5	YFL058W	KLMA_40004
SKDZ_06G0050	AGP3	YFL055W	NA
SKDZ_06G0060	YFL054C	YFL054C	NA
SKDZ_06G0070	DAK2	YFL053W	NA
SKDZ_06G0090	YFL052W	YFL052W	NA
SKDZ_06G0140	FLO9	YAL063C	KLMA_10835
SKDZ_06G0140	FLO9	YAL063C	KLMA_20002
SKDZ_06G0140	FLO9	YAL063C	KLMA_10197
SKDZ_06G0140	FLO9	YAL063C	KLMA_40626
SKDZ_06G0140	FLO9	YAL063C	KLMA_70009
SKDZ_06G0140	FLO9	YAL063C	KLMA_60007
SKDZ_06G0140	FLO9	YAL063C	KLMA_80426
SKDZ_06G0140	FLO9	YAL063C	KLMA_70461
SKDZ_06G0140	FLO9	YAL063C	KLMA_80423
SKDZ_06G0150	ALR2	YFL050C	KLMA_70166
SKDZ_06G0160	SWP82	YFL049W	KLMA_70026
SKDZ_06G0170	EMP47	YFL048C	NA
SKDZ_06G0180	RGD2	YFL047W	KLMA_70029
SKDZ_06G0190	FMP32	YFL046W	KLMA_70033
SKDZ_06G0200	SEC53	YFL045C	KLMA_70034
SKDZ_06G0210	OTU1	YFL044C	KLMA_70040
SKDZ_06G0220	YFL042C	YFL042C	KLMA_70042
SKDZ_06G0230	FET5	YFL041W	KLMA_70045
SKDZ_06G0240	YFL040W	YFL040W	KLMA_70050
SKDZ_06G0250	ACT1	YFL039C	KLMA_70051
SKDZ_06G0260	YPT1	YFL038C	KLMA_70054
SKDZ_06G0270	TUB2	YFL037W	KLMA_70056
SKDZ_06G0280	RPO41	YFL036W	KLMA_70058
SKDZ_06G0290	MOB2	YFL034C-B	KLMA_70059
SKDZ_06G0300	RPL22B	YFL034C-A	KLMA_20495
SKDZ_06G0310	YFL034W	YFL034W	KLMA_20494
SKDZ_06G0320	RIM15	YFL033C	KLMA_20301
SKDZ_06G0330	HAC1	YFL031W	KLMA_20303
SKDZ_06G0350	AGX1	YFL030W	KLMA_20304
SKDZ_06G0360	CAK1	YFL029C	KLMA_20307
SKDZ_06G0370	CAF16	YFL028C	KLMA_20309
SKDZ_06G0380	GYP8	YFL027C	KLMA_20311
SKDZ_06G0390	STE2	YFL026W	KLMA_60295
SKDZ_06G0400	BST1	YFL025C	KLMA_60296
SKDZ_06G0410	EPL1	YFL024C	KLMA_60297
SKDZ_06G0420	BUD27	YFL023W	KLMA_60298
SKDZ_06G0430	FRS2	YFL022C	KLMA_60301
SKDZ_06G0440	GAT1	YFL021W	NA
SKDZ_06G0460	LPD1	YFL018C	KLMA_60420
SKDZ_06G0470	SMX2	YFL017W-A	KLMA_20769
SKDZ_06G0480	GNA1	YFL017C	KLMA_20768
SKDZ_06G0490	MDJ1	YFL016C	KLMA_20770
SKDZ_06G0500	YFL015C	YFL015C	NA
SKDZ_06G0510	HSP12	YFL014W	KLMA_20771
SKDZ_06G0520	IES1	YFL013C	KLMA_20773
SKDZ_06G0540	YFL012W	YFL012W	NA
SKDZ_06G0550	HXT10	YFL011W	NA
SKDZ_06G0560	WWM1	YFL010C	NA
SKDZ_06G0570	CDC4	YFL009W	KLMA_20775
SKDZ_06G0580	SMC1	YFL008W	KLMA_20777
SKDZ_06G0590	BLM10	YFL007W	KLMA_30128
SKDZ_06G0600	SEC4	YFL005W	NA
SKDZ_06G0610	VTC2	YFL004W	KLMA_30125
SKDZ_06G0620	MSH4	YFL003C	KLMA_20213
SKDZ_06G0630	SPB4	YFL002C	KLMA_70449
SKDZ_06G0640	DEG1	YFL001W	KLMA_70448
SKDZ_06G0650	LOC1	YFR001W	KLMA_70445
SKDZ_06G0660	NIC96	YFR002W	KLMA_70442
SKDZ_06G0670	YPI1	YFR003C	KLMA_70441
SKDZ_06G0680	RPN11	YFR004W	KLMA_70440
SKDZ_06G0690	SAD1	YFR005C	KLMA_70439
SKDZ_06G0700	YFR006W	YFR006W	KLMA_70438
SKDZ_06G0710	YFH7	YFR007W	KLMA_70432
SKDZ_06G0720	FAR7	YFR008W	KLMA_30618
SKDZ_06G0730	YFR016C	YFR016C	KLMA_30368
SKDZ_06G0740	GSY1	YFR015C	KLMA_30370
SKDZ_06G0750	CMK1	YFR014C	NA
SKDZ_06G0760	IOC3	YFR013W	KLMA_60207
SKDZ_06G0770	DCV1	YFR012W	NA
SKDZ_06G0800	UBP6	YFR010W	KLMA_10531
SKDZ_06G0810	GCN20	YFR009W	KLMA_10534
SKDZ_06G0830	IGD1	YFR017C	NA
SKDZ_06G0840	YFR018C	YFR018C	KLMA_20472
SKDZ_06G0850	FAB1	YFR019W	KLMA_20473
SKDZ_06G0860	ATG18	YFR021W	KLMA_20474
SKDZ_06G0870	ROG3	YFR022W	NA
SKDZ_06G0880	PES4	YFR023W	KLMA_10430
SKDZ_06G0890	LSB3	YFR024C-A	KLMA_10431
SKDZ_06G0900	HIS2	YFR025C	KLMA_10436
SKDZ_06G0920	ECO1	YFR027W	KLMA_50228
SKDZ_06G0930	CDC14	YFR028C	KLMA_50227
SKDZ_06G0940	PTR3	YFR029W	KLMA_50096
SKDZ_06G0950	MET10	YFR030W	KLMA_50471
SKDZ_06G0960	SMC2	YFR031C	KLMA_50472
SKDZ_06G0970	RPL2A	YFR031C-A	KLMA_50473
SKDZ_06G0980	RRT5	YFR032C	NA
SKDZ_06G0990	RPL29	YFR032C-A	KLMA_50474
SKDZ_06G1000	QCR6	YFR033C	KLMA_50475
SKDZ_06G1010	PHO4	YFR034C	NA
SKDZ_06G1030	CDC26	YFR036W	NA
SKDZ_06G1040	RSC8	YFR037C	KLMA_20530
SKDZ_06G1060	IRC5	YFR038W	KLMA_20529
SKDZ_06G1080	SAP155	YFR040W	NA
SKDZ_06G1090	ERJ5	YFR041C	KLMA_30690
SKDZ_06G1100	KEG1	YFR042W	KLMA_30691
SKDZ_06G1110	IRC6	YFR043C	NA
SKDZ_06G1120	DUG1	YFR044C	KLMA_30695
SKDZ_06G1130	YFR045W	YFR045W	KLMA_30696
SKDZ_06G1140	CNN1	YFR046C	NA
SKDZ_06G1150	BNA6	YFR047C	NA
SKDZ_06G1160	RMD8	YFR048W	KLMA_30707
SKDZ_06G1170	YMR31	YFR049W	KLMA_60405
SKDZ_06G1180	PRE4	YFR050C	KLMA_60407
SKDZ_06G1190	RET2	YFR051C	KLMA_60410
SKDZ_06G1200	RPN12	YFR052W	KLMA_60411
SKDZ_06G1220	HXK1	YFR053C	KLMA_60412
SKDZ_06G1230	FLO5	YHR211W	KLMA_10835
SKDZ_06G1230	FLO5	YHR211W	KLMA_20002
SKDZ_06G1230	FLO5	YHR211W	KLMA_10197
SKDZ_06G1230	FLO5	YHR211W	KLMA_40626
SKDZ_06G1230	FLO5	YHR211W	KLMA_70009
SKDZ_06G1230	FLO5	YHR211W	KLMA_60007
SKDZ_06G1230	FLO5	YHR211W	KLMA_80426
SKDZ_06G1230	FLO5	YHR211W	KLMA_70461
SKDZ_06G1230	FLO5	YHR211W	KLMA_80423
SKDZ_06G1240	IRC7	YFR055W	NA
SKDZ_07G0090	VEL1	YGL258W	NA
SKDZ_07G0100	MNT2	YGL257C	KLMA_20011
SKDZ_07G0110	ADH4	YGL256W	KLMA_20005
SKDZ_07G0120	ZRT1	YGL255W	NA
SKDZ_07G0130	FZF1	YGL254W	NA
SKDZ_07G0140	HXK2	YGL253W	KLMA_60412
SKDZ_07G0150	RTG2	YGL252C	KLMA_60408
SKDZ_07G0160	HFM1	YGL251C	NA
SKDZ_07G0170	RMR1	YGL250W	NA
SKDZ_07G0180	ZIP2	YGL249W	NA
SKDZ_07G0190	PDE1	YGL248W	KLMA_60406
SKDZ_07G0200	BRR6	YGL247W	KLMA_70379
SKDZ_07G0210	RAI1	YGL246C	KLMA_70380
SKDZ_07G0220	GUS1	YGL245W	KLMA_30709
SKDZ_07G0230	RTF1	YGL244W	KLMA_30706
SKDZ_07G0240	TAD1	YGL243W	KLMA_30705
SKDZ_07G0250	YGL242C	YGL242C	KLMA_30704
SKDZ_07G0260	KAP114	YGL241W	KLMA_30703
SKDZ_07G0270	DOC1	YGL240W	KLMA_30701
SKDZ_07G0290	CSE1	YGL238W	KLMA_30700
SKDZ_07G0300	HAP2	YGL237C	KLMA_30699
SKDZ_07G0310	MTO1	YGL236C	KLMA_30698
SKDZ_07G0320	ADE5,7	YGL234W	KLMA_30697
SKDZ_07G0330	SEC15	YGL233W	KLMA_30694
SKDZ_07G0340	TAN1	YGL232W	KLMA_30693
SKDZ_07G0350	EMC4	YGL231C	KLMA_30692
SKDZ_07G0360	YGL230C	YGL230C	NA
SKDZ_07G0370	SAP4	YGL229C	KLMA_30689
SKDZ_07G0380	SHE10	YGL228W	KLMA_30688
SKDZ_07G0390	VID30	YGL227W	KLMA_30686
SKDZ_07G0400	OST5	YGL226C-A	NA
SKDZ_07G0410	MTC3	YGL226W	KLMA_30685
SKDZ_07G0430	VRG4	YGL225W	KLMA_30681
SKDZ_07G0440	SDT1	YGL224C	KLMA_30679
SKDZ_07G0450	COG1	YGL223C	NA
SKDZ_07G0460	EDC1	YGL222C	NA
SKDZ_07G0470	NIF3	YGL221C	NA
SKDZ_07G0480	FRA2	YGL220W	KLMA_30676
SKDZ_07G0490	MDM34	YGL219C	NA
SKDZ_07G0510	KIP3	YGL216W	NA
SKDZ_07G0520	CLG1	YGL215W	KLMA_30675
SKDZ_07G0530	SKI8	YGL213C	KLMA_30674
SKDZ_07G0550	VAM7	YGL212W	KLMA_30673
SKDZ_07G0560	NCS6	YGL211W	KLMA_40612
SKDZ_07G0570	YPT32	YGL210W	NA
SKDZ_07G0580	MIG2	YGL209W	NA
SKDZ_07G0590	SIP2	YGL208W	NA
SKDZ_07G0600	SPT16	YGL207W	KLMA_20265
SKDZ_07G0610	CHC1	YGL206C	KLMA_20264
SKDZ_07G0620	POX1	YGL205W	KLMA_20263
SKDZ_07G0630	KEX1	YGL203C	KLMA_20260
SKDZ_07G0640	ARO8	YGL202W	KLMA_20259
SKDZ_07G0650	MCM6	YGL201C	KLMA_20254
SKDZ_07G0660	EMP24	YGL200C	KLMA_30141
SKDZ_07G0680	YIP4	YGL198W	KLMA_30143
SKDZ_07G0690	MDS3	YGL197W	KLMA_30144
SKDZ_07G0700	DSD1	YGL196W	KLMA_20223
SKDZ_07G0710	GCN1	YGL195W	KLMA_30145
SKDZ_07G0720	YGL194C-A	YGL194C-A	NA
SKDZ_07G0730	HOS2	YGL194C	KLMA_20297
SKDZ_07G0740	IME4	YGL192W	KLMA_20298
SKDZ_07G0750	COX13	YGL191W	KLMA_20299
SKDZ_07G0760	CDC55	YGL190C	NA
SKDZ_07G0770	RPS26A	YGL189C	KLMA_20492
SKDZ_07G0780	YGL188C-A	YGL188C-A	NA
SKDZ_07G0790	COX4	YGL187C	KLMA_20491
SKDZ_07G0800	TPN1	YGL186C	KLMA_20490
SKDZ_07G0810	YGL185C	YGL185C	KLMA_20295
SKDZ_07G0820	STR3	YGL184C	KLMA_30325
SKDZ_07G0830	MND1	YGL183C	KLMA_30322
SKDZ_07G0840	GTS1	YGL181W	NA
SKDZ_07G0850	ATG1	YGL180W	KLMA_30321
SKDZ_07G0860	TOS3	YGL179C	NA
SKDZ_07G0870	MPT5	YGL178W	KLMA_70413
SKDZ_07G0880	YGL176C	YGL176C	NA
SKDZ_07G0890	SAE2	YGL175C	KLMA_40276
SKDZ_07G0900	BUD13	YGL174W	KLMA_40275
SKDZ_07G0910	XRN1	YGL173C	KLMA_40274
SKDZ_07G0920	NUP49	YGL172W	KLMA_40273
SKDZ_07G0930	ROK1	YGL171W	KLMA_30307
SKDZ_07G0940	SPO74	YGL170C	NA
SKDZ_07G0950	SUA5	YGL169W	KLMA_30612
SKDZ_07G0960	PMR1	YGL167C	KLMA_30610
SKDZ_07G0970	CUP2	YGL166W	NA
SKDZ_07G0980	YRB30	YGL164C	NA
SKDZ_07G0990	RAD54	YGL163C	KLMA_30615
SKDZ_07G1000	SUT1	YGL162W	KLMA_30614
SKDZ_07G1010	YIP5	YGL161C	KLMA_30613
SKDZ_07G1020	AIM14	YGL160W	KLMA_40298
SKDZ_07G1030	YGL159W	YGL159W	KLMA_40296
SKDZ_07G1040	RCK1	YGL158W	NA
SKDZ_07G1050	ARI1	YGL157W	KLMA_60425
SKDZ_07G1060	AMS1	YGL156W	NA
SKDZ_07G1070	CDC43	YGL155W	KLMA_80107
SKDZ_07G1080	LYS5	YGL154C	KLMA_80105
SKDZ_07G1090	PEX14	YGL153W	KLMA_80104
SKDZ_07G1100	NUT1	YGL151W	KLMA_80103
SKDZ_07G1110	INO80	YGL150C	KLMA_80102
SKDZ_07G1120	ARO2	YGL148W	KLMA_80099
SKDZ_07G1130	RPL9A	YGL147C	KLMA_80096
SKDZ_07G1130	RPL9A	YGL147C	KLMA_60540
SKDZ_07G1140	RRT6	YGL146C	KLMA_80090
SKDZ_07G1150	TIP20	YGL145W	KLMA_60015
SKDZ_07G1160	ROG1	YGL144C	KLMA_60014
SKDZ_07G1170	MRF1	YGL143C	KLMA_60013
SKDZ_07G1180	GPI10	YGL142C	KLMA_60009
SKDZ_07G1190	HUL5	YGL141W	KLMA_60008
SKDZ_07G1200	YGL140C	YGL140C	KLMA_10113
SKDZ_07G1210	FLC3	YGL139W	KLMA_40562
SKDZ_07G1220	YGL138C	YGL138C	KLMA_40561
SKDZ_07G1230	SEC27	YGL137W	KLMA_40560
SKDZ_07G1240	MRM2	YGL136C	KLMA_40559
SKDZ_07G1250	RPL1B	YGL135W	KLMA_40558
SKDZ_07G1260	PCL10	YGL134W	NA
SKDZ_07G1270	ITC1	YGL133W	KLMA_40554
SKDZ_07G1280	SNT2	YGL131C	KLMA_40550
SKDZ_07G1290	CEG1	YGL130W	KLMA_40549
SKDZ_07G1300	RSM23	YGL129C	KLMA_40548
SKDZ_07G1310	CWC23	YGL128C	KLMA_10115
SKDZ_07G1320	SOH1	YGL127C	KLMA_10255
SKDZ_07G1330	SCS3	YGL126W	KLMA_20281
SKDZ_07G1340	MET13	YGL125W	KLMA_20276
SKDZ_07G1350	MON1	YGL124C	KLMA_20270
SKDZ_07G1360	RPS2	YGL123W	KLMA_20268
SKDZ_07G1380	NAB2	YGL122C	KLMA_20267
SKDZ_07G1390	GPG1	YGL121C	NA
SKDZ_07G1400	PRP43	YGL120C	KLMA_40619
SKDZ_07G1410	COQ8	YGL119W	KLMA_40620
SKDZ_07G1420	YGL117W	YGL117W	NA
SKDZ_07G1430	CDC20	YGL116W	KLMA_20224
SKDZ_07G1440	SNF4	YGL115W	KLMA_20225
SKDZ_07G1450	YGL114W	YGL114W	KLMA_20226
SKDZ_07G1460	SLD3	YGL113W	KLMA_20229
SKDZ_07G1470	TAF6	YGL112C	KLMA_20230
SKDZ_07G1480	NSA1	YGL111W	KLMA_20233
SKDZ_07G1490	CUE3	YGL110C	KLMA_20234
SKDZ_07G1500	YGL108C	YGL108C	NA
SKDZ_07G1510	RMD9	YGL107C	NA
SKDZ_07G1520	MLC1	YGL106W	KLMA_20240
SKDZ_07G1530	ARC1	YGL105W	KLMA_20242
SKDZ_07G1540	VPS73	YGL104C	NA
SKDZ_07G1560	RPL28	YGL103W	KLMA_20403
SKDZ_07G1570	YGL101W	YGL101W	KLMA_20404
SKDZ_07G1580	SEH1	YGL100W	KLMA_20406
SKDZ_07G1590	LSG1	YGL099W	KLMA_20409
SKDZ_07G1600	USE1	YGL098W	KLMA_20410
SKDZ_07G1610	SRM1	YGL097W	KLMA_20412
SKDZ_07G1620	TOS8	YGL096W	NA
SKDZ_07G1630	VPS45	YGL095C	KLMA_60344
SKDZ_07G1640	PAN2	YGL094C	KLMA_60346
SKDZ_07G1650	SPC105	YGL093W	KLMA_60349
SKDZ_07G1660	NUP145	YGL092W	KLMA_60350
SKDZ_07G1670	NBP35	YGL091C	KLMA_60351
SKDZ_07G1680	LIF1	YGL090W	NA
SKDZ_07G1690	MF(ALPHA)2	YGL089C	KLMA_60356
SKDZ_07G1700	MMS2	YGL087C	KLMA_60358
SKDZ_07G1710	MAD1	YGL086W	KLMA_60359
SKDZ_07G1720	LCL3	YGL085W	KLMA_60360
SKDZ_07G1730	GUP1	YGL084C	KLMA_60361
SKDZ_07G1740	SCY1	YGL083W	KLMA_60362
SKDZ_07G1750	YGL082W	YGL082W	KLMA_60366
SKDZ_07G1760	YGL081W	YGL081W	KLMA_60367
SKDZ_07G1780	KXD1	YGL079W	KLMA_60373
SKDZ_07G1790	DBP3	YGL078C	KLMA_30511
SKDZ_07G1800	HNM1	YGL077C	KLMA_30509
SKDZ_07G1810	RPL7A	YGL076C	NA
SKDZ_07G1820	MPS2	YGL075C	KLMA_10650
SKDZ_07G1840	HSF1	YGL073W	KLMA_10648
SKDZ_07G1850	AFT1	YGL071W	KLMA_10646
SKDZ_07G1860	RPB9	YGL070C	KLMA_10645
SKDZ_07G1880	MNP1	YGL068W	KLMA_10643
SKDZ_07G1890	NPY1	YGL067W	KLMA_10640
SKDZ_07G1890	NPY1	YGL067W	KLMA_40536
SKDZ_07G1900	SGF73	YGL066W	KLMA_40538
SKDZ_07G1910	ALG2	YGL065C	KLMA_40539
SKDZ_07G1920	MRH4	YGL064C	KLMA_40544
SKDZ_07G1930	PUS2	YGL063W	NA
SKDZ_07G1950	PYC1	YGL062W	KLMA_10253
SKDZ_07G1960	DUO1	YGL061C	NA
SKDZ_07G1970	YBP2	YGL060W	NA
SKDZ_07G1980	PKP2	YGL059W	KLMA_10248
SKDZ_07G1990	RAD6	YGL058W	KLMA_10247
SKDZ_07G2000	GEP7	YGL057C	NA
SKDZ_07G2010	SDS23	YGL056C	NA
SKDZ_07G2020	OLE1	YGL055W	KLMA_10244
SKDZ_07G2030	ERV14	YGL054C	NA
SKDZ_07G2050	TYW3	YGL050W	NA
SKDZ_07G2060	TIF4632	YGL049C	KLMA_50142
SKDZ_07G2070	RPT6	YGL048C	KLMA_50143
SKDZ_07G2080	ALG13	YGL047W	KLMA_50144
SKDZ_07G2090	RIM8	YGL045W	KLMA_30383
SKDZ_07G2100	RNA15	YGL044C	KLMA_20285
SKDZ_07G2110	DST1	YGL043W	KLMA_20286
SKDZ_07G2120	YGL041W-A	YGL041W-A	KLMA_20287
SKDZ_07G2140	HEM2	YGL040C	KLMA_20290
SKDZ_07G2150	YGL039W	YGL039W	KLMA_60425
SKDZ_07G2160	OCH1	YGL038C	KLMA_40267
SKDZ_07G2170	PNC1	YGL037C	KLMA_40268
SKDZ_07G2180	YGL036W	YGL036W	KLMA_40269
SKDZ_07G2190	MIG1	YGL035C	KLMA_20059
SKDZ_07G2200	HOP2	YGL033W	NA
SKDZ_07G2210	AGA2	YGL032C	NA
SKDZ_07G2220	RPL24A	YGL031C	KLMA_20054
SKDZ_07G2230	RPL30	YGL030W	KLMA_20053
SKDZ_07G2240	CGR1	YGL029W	KLMA_20051
SKDZ_07G2250	SCW11	YGL028C	KLMA_20049
SKDZ_07G2260	CWH41	YGL027C	KLMA_20048
SKDZ_07G2270	TRP5	YGL026C	KLMA_20046
SKDZ_07G2280	PGD1	YGL025C	NA
SKDZ_07G2300	PIB2	YGL023C	KLMA_30326
SKDZ_07G2310	STT3	YGL022W	KLMA_30378
SKDZ_07G2320	ALK1	YGL021W	KLMA_30380
SKDZ_07G2330	GET1	YGL020C	KLMA_50145
SKDZ_07G2340	CKB1	YGL019W	KLMA_50146
SKDZ_07G2350	JAC1	YGL018C	KLMA_50147
SKDZ_07G2360	ATE1	YGL017W	KLMA_50148
SKDZ_07G2370	KAP122	YGL016W	KLMA_50149
SKDZ_07G2380	YGL015C	YGL015C	NA
SKDZ_07G2390	PUF4	YGL014W	KLMA_10459
SKDZ_07G2410	PDR1	YGL013C	KLMA_10460
