accession	kmORF
W0TBX3	KLMA_30314
W0TBX8	KLMA_40509
W0TBY5	KLMA_30329
W0TBY6	KLMA_40519
W0TBY7	KLMA_50513
W0TBZ3	KLMA_50271
W0TBZ7	KLMA_50523
W0TC01	KLMA_40534
W0TC07	KLMA_50286
W0TC08	KLMA_40287
W0TC09	KLMA_50533
W0TC22	KLMA_30364
W0TC29	KLMA_50311
W0TC32	KLMA_30374
W0TC34	KLMA_40317
W0TC38	KLMA_40569
W0TC40	KLMA_50321
W0TC41	KLMA_30384
W0TC42	KLMA_50563
W0TC44	KLMA_40574
W0TC50	KLMA_50331
W0TC53	KLMA_50573
W0TC56	KLMA_40342
W0TC59	KLMA_40589
W0TC65	KLMA_50583
W0TC70	KLMA_50351
W0TC73	KLMA_30414
W0TC82	KLMA_30424
W0TC88	KLMA_40619
W0TC93	KLMA_40624
W0TC96	KLMA_40387
W0TC97	KLMA_50613
W0TC99	KLMA_50381
W0TCA0	KLMA_30439
W0TCB2	KLMA_50396
W0TCB3	KLMA_50628
W0TCB9	KLMA_50019
W0TCC2	KLMA_40417
W0TCC3	KLMA_50024
W0TCC5	KLMA_40422
W0TCC7	KLMA_50411
W0TCD1	KLMA_50034
W0TCD3	KLMA_40432
W0TCD9	KLMA_50426
W0TCE1	KLMA_40442
W0TCE3	KLMA_30484
W0TCE4	KLMA_50431
W0TCF4	KLMA_50446
W0TCG6	KLMA_60016
W0TCH0	KLMA_60021
W0TCH3	KLMA_40482
W0TCH8	KLMA_60031
W0TCI1	KLMA_40492
W0TCI2	KLMA_50094
W0TCI3	KLMA_60036
W0TCI5	KLMA_30504
W0TCI7	KLMA_50099
W0TCI9	KLMA_50486
W0TCJ9	KLMA_30519
W0TCK6	KLMA_50501
W0TCL1	KLMA_50506
W0TCM0	KLMA_60076
W0TCN7	KLMA_60096
W0TCN8	KLMA_40552
W0TCN9	KLMA_50536
W0TCP6	KLMA_40562
W0TCQ0	KLMA_40567
W0TCQ7	KLMA_50144
W0TCR3	KLMA_30589
W0TCR7	KLMA_50566
W0TCR8	KLMA_30594
W0TCR9	KLMA_60131
W0TCS1	KLMA_40587
W0TCS8	KLMA_50576
W0TCT2	KLMA_40597
W0TCT3	KLMA_50581
W0TCT4	KLMA_60146
W0TCT5	KLMA_50174
W0TCT8	KLMA_60151
W0TCU4	KLMA_50591
W0TCV2	KLMA_60166
W0TCV6	KLMA_30634
W0TCW1	KLMA_30639
W0TCW6	KLMA_30644
W0TCX0	KLMA_50616
W0TCX1	KLMA_30649
W0TCX2	KLMA_50007
W0TCX4	KLMA_50214
W0TCX9	KLMA_50219
W0TCY0	KLMA_50626
W0TCY1	KLMA_30659
W0TCY4	KLMA_50017
W0TCY6	KLMA_50631
W0TCZ2	KLMA_60206
W0TCZ5	KLMA_50239
W0TD06	KLMA_50042
W0TD09	KLMA_50259
W0TD10	KLMA_30694
W0TD14	KLMA_30699
W0TD16	KLMA_50269
W0TD20	KLMA_50057
W0TD23	KLMA_30709
W0TD25	KLMA_60246
W0TD27	KLMA_30714
W0TD31	KLMA_30719
W0TD32	KLMA_50072
W0TD36	KLMA_50299
W0TD37	KLMA_30724
W0TD40	KLMA_50082
W0TD47	KLMA_50314
W0TD56	KLMA_40020
W0TD58	KLMA_60286
W0TD68	KLMA_40035
W0TD69	KLMA_50117
W0TD71	KLMA_40040
W0TD72	KLMA_60296
W0TD74	KLMA_50349
W0TD76	KLMA_60301
W0TD78	KLMA_50127
W0TD83	KLMA_60311
W0TD84	KLMA_40055
W0TD86	KLMA_60009
W0TD99	KLMA_60024
W0TDA0	KLMA_60331
W0TDA1	KLMA_40075
W0TDA2	KLMA_50384
W0TDA4	KLMA_40080
W0TDA7	KLMA_50389
W0TDA8	KLMA_40085
W0TDA9	KLMA_60341
W0TDD2	KLMA_50419
W0TDD5	KLMA_60069
W0TDD7	KLMA_50152
W0TDD8	KLMA_50424
W0TDD9	KLMA_40115
W0TDE0	KLMA_50157
W0TDE1	KLMA_60074
W0TDE5	KLMA_60079
W0TDE7	KLMA_50162
W0TDE8	KLMA_50434
W0TDE9	KLMA_40125
W0TDF2	KLMA_60386
W0TDF3	KLMA_50439
W0TDF8	KLMA_50444
W0TDG1	KLMA_40135
W0TDG9	KLMA_50187
W0TDH0	KLMA_60104
W0TDH2	KLMA_50459
W0TDH6	KLMA_40150
W0TDH9	KLMA_50197
W0TDI6	KLMA_40160
W0TDI7	KLMA_50474
W0TDJ4	KLMA_50212
W0TDJ8	KLMA_60431
W0TDK7	KLMA_50494
W0TDK8	KLMA_40180
W0TDK9	KLMA_50227
W0TDL8	KLMA_60451
W0TDN4	KLMA_50257
W0TDN5	KLMA_60164
W0TDN6	KLMA_50524
W0TDN7	KLMA_40210
W0TDP3	KLMA_60476
W0TDP8	KLMA_40220
W0TDP9	KLMA_60179
W0TDQ2	KLMA_40225
W0TDR5	KLMA_50554
W0TDR7	KLMA_40240
W0TDS0	KLMA_50297
W0TDS1	KLMA_60204
W0TDS4	KLMA_60209
W0TDS6	KLMA_50569
W0TDS7	KLMA_40255
W0TDT2	KLMA_60219
W0TDT8	KLMA_60229
W0TDU3	KLMA_50322
W0TDV2	KLMA_50604
W0TDV5	KLMA_60254
W0TDV7	KLMA_60506
W0TDV8	KLMA_50609
W0TDW1	KLMA_50347
W0TDW2	KLMA_50614
W0TDW4	KLMA_60516
W0TDW5	KLMA_50352
W0TDW6	KLMA_50619
W0TDX3	KLMA_60526
W0TDX5	KLMA_60279
W0TDX8	KLMA_60284
W0TDY2	KLMA_60541
W0TDY6	KLMA_60294
W0TDZ4	KLMA_60556
W0TDZ5	KLMA_60304
W0TE02	KLMA_40290
W0TE06	KLMA_70014
W0TE12	KLMA_40305
W0TE13	KLMA_70024
W0TE17	KLMA_50417
W0TE22	KLMA_70034
W0TE26	KLMA_60012
W0TE32	KLMA_70044
W0TE33	KLMA_50432
W0TE34	KLMA_40330
W0TE38	KLMA_40335
W0TE47	KLMA_50447
W0TE50	KLMA_60037
W0TE57	KLMA_70074
W0TE59	KLMA_60047
W0TE78	KLMA_50472
W0TE83	KLMA_50477
W0TE90	KLMA_40390
W0TE99	KLMA_60087
W0TEA2	KLMA_60092
W0TEA5	KLMA_40405
W0TEB2	KLMA_60102
W0TEB5	KLMA_70134
W0TEB9	KLMA_60419
W0TEC4	KLMA_70144
W0TEC7	KLMA_60117
W0TEC8	KLMA_50517
W0TED2	KLMA_40435
W0TED4	KLMA_50522
W0TED6	KLMA_60434
W0TED8	KLMA_40440
W0TEE0	KLMA_60132
W0TEE1	KLMA_40445
W0TEE8	KLMA_50537
W0TEF5	KLMA_70174
W0TEF8	KLMA_50547
W0TEG0	KLMA_70179
W0TEG4	KLMA_40470
W0TEG5	KLMA_70184
W0TEG8	KLMA_40475
W0TEG9	KLMA_60167
W0TEH1	KLMA_60464
W0TEH4	KLMA_40480
W0TEH6	KLMA_60469
W0TEH8	KLMA_60177
W0TEH9	KLMA_40485
W0TEI0	KLMA_70199
W0TEI2	KLMA_60182
W0TEI6	KLMA_60187
W0TEJ1	KLMA_60192
W0TEJ8	KLMA_40505
W0TEK0	KLMA_70219
W0TEK4	KLMA_50587
W0TEM0	KLMA_60499
W0TEM1	KLMA_70244
W0TEM2	KLMA_60227
W0TEM4	KLMA_50607
W0TEM5	KLMA_70249
W0TEN1	KLMA_40545
W0TEN8	KLMA_70264
W0TEP4	KLMA_60252
W0TEP6	KLMA_60257
W0TEQ2	KLMA_60519
W0TEQ3	KLMA_40570
W0TEQ5	KLMA_60524
W0TEQ7	KLMA_40575
W0TER0	KLMA_60529
W0TER1	KLMA_40580
W0TER2	KLMA_70289
W0TER4	KLMA_60534
W0TER5	KLMA_40585
W0TER7	KLMA_60539
W0TES4	KLMA_40595
W0TES5	KLMA_70304
W0TET0	KLMA_60297
W0TET7	KLMA_70314
W0TEU0	KLMA_40610
W0TEU3	KLMA_70017
W0TEU7	KLMA_70022
W0TEV0	KLMA_60317
W0TEV9	KLMA_70334
W0TEW3	KLMA_60327
W0TEW5	KLMA_70339
W0TEX0	KLMA_70047
W0TEY0	KLMA_60055
W0TEY4	KLMA_70354
W0TEY9	KLMA_70359
W0TEZ4	KLMA_60075
W0TEZ8	KLMA_70077
W0TF02	KLMA_70082
W0TF05	KLMA_70087
W0TF09	KLMA_60090
W0TF11	KLMA_50050
W0TF13	KLMA_60372
W0TF14	KLMA_60095
W0TF23	KLMA_60382
W0TF36	KLMA_70117
W0TF38	KLMA_60125
W0TF39	KLMA_60397
W0TF40	KLMA_70122
W0TF43	KLMA_70127
W0TF44	KLMA_60130
W0TF45	KLMA_60402
W0TF46	KLMA_70409
W0TF50	KLMA_60407
W0TF51	KLMA_70414
W0TF54	KLMA_60140
W0TF55	KLMA_60412
W0TF56	KLMA_70142
W0TF59	KLMA_50095
W0TF66	KLMA_60422
W0TF68	KLMA_70429
W0TF69	KLMA_50105
W0TF72	KLMA_60427
W0TF74	KLMA_50110
W0TF75	KLMA_70162
W0TF82	KLMA_70172
W0TF84	KLMA_60175
W0TF85	KLMA_60442
W0TF86	KLMA_70177
W0TF87	KLMA_60180
W0TF96	KLMA_60452
W0TF97	KLMA_70192
W0TF99	KLMA_60457
W0TFA2	KLMA_60462
W0TFA6	KLMA_60210
W0TFA9	KLMA_70449
W0TFB0	KLMA_70212
W0TFC6	KLMA_60487
W0TFC8	KLMA_60235
W0TFD2	KLMA_60492
W0TFD3	KLMA_80016
W0TFD6	KLMA_60245
W0TFD7	KLMA_80021
W0TFD9	KLMA_50145
W0TFE0	KLMA_60250
W0TFE5	KLMA_80031
W0TFE7	KLMA_50155
W0TFF0	KLMA_60497
W0TFF3	KLMA_70262
W0TFF6	KLMA_50165
W0TFG0	KLMA_50170
W0TFG1	KLMA_70272
W0TFG2	KLMA_60275
W0TFG4	KLMA_50175
W0TFH3	KLMA_80066
W0TFH8	KLMA_60507
W0TFH9	KLMA_50195
W0TFI3	KLMA_60512
W0TFI4	KLMA_50200
W0TFJ4	KLMA_80091
W0TFK4	KLMA_60527
W0TFK6	KLMA_80106
W0TFL0	KLMA_80111
W0TFL3	KLMA_60537
W0TFM2	KLMA_60335
W0TFM5	KLMA_80126
W0TFN3	KLMA_50250
W0TFN8	KLMA_70342
W0TFP0	KLMA_80141
W0TFP1	KLMA_50260
W0TFP3	KLMA_70015
W0TFP4	KLMA_70347
W0TFP6	KLMA_50265
W0TFP9	KLMA_80151
W0TFQ0	KLMA_50270
W0TFQ2	KLMA_70025
W0TFQ8	KLMA_50280
W0TFR0	KLMA_60370
W0TFR5	KLMA_60375
W0TFR7	KLMA_70040
W0TFR8	KLMA_70367
W0TFR9	KLMA_80171
W0TFS0	KLMA_50295
W0TFS1	KLMA_60380
W0TFS2	KLMA_70045
W0TFS7	KLMA_60385
W0TFS9	KLMA_70377
W0TFT3	KLMA_60390
W0TFT5	KLMA_70382
W0TFU1	KLMA_70387
W0TFU2	KLMA_80196
W0TFU5	KLMA_60400
W0TFU7	KLMA_80201
W0TFV5	KLMA_70402
W0TFV6	KLMA_60410
W0TFW5	KLMA_50340
W0TFW6	KLMA_60420
W0TFW7	KLMA_80221
W0TFW8	KLMA_70412
W0TFW9	KLMA_50345
W0TFX0	KLMA_70100
W0TFY0	KLMA_70422
W0TFY1	KLMA_70115
W0TFY6	KLMA_60435
W0TFY9	KLMA_70125
W0TFZ8	KLMA_60445
W0TG03	KLMA_70140
W0TG04	KLMA_50385
W0TG08	KLMA_50390
W0TG15	KLMA_70442
W0TG16	KLMA_70160
W0TG17	KLMA_50400
W0TG23	KLMA_60470
W0TG25	KLMA_70170
W0TG26	KLMA_80286
W0TG27	KLMA_70175
W0TG33	KLMA_70447
W0TG41	KLMA_50430
W0TG45	KLMA_80306
W0TG56	KLMA_50445
W0TG57	KLMA_70210
W0TG60	KLMA_50450
W0TG63	KLMA_70215
W0TG70	KLMA_80029
W0TG71	KLMA_70225
W0TG72	KLMA_80336
W0TG73	KLMA_50465
W0TG74	KLMA_80034
W0TG80	KLMA_70235
W0TG82	KLMA_80044
W0TG83	KLMA_50480
W0TG88	KLMA_60505
W0TG91	KLMA_80054
W0TG92	KLMA_80356
W0TG96	KLMA_70250
W0TGA1	KLMA_70255
W0TGA6	KLMA_70260
W0TGB0	KLMA_50505
W0TGB2	KLMA_80079
W0TGB5	KLMA_50510
W0TGB9	KLMA_80381
W0TGC5	KLMA_50520
W0TGD1	KLMA_80099
W0TGD2	KLMA_50525
W0TGD3	KLMA_70285
W0TGD6	KLMA_80104
W0TGE0	KLMA_80109
W0TGE1	KLMA_80401
W0TGF0	KLMA_60129 KLMA_80119
W0TGF3	KLMA_70305
W0TGF8	KLMA_50550
W0TGF9	KLMA_70310
W0TGG5	KLMA_70315
W0TGG7	KLMA_80139
W0TGH2	KLMA_80144
W0TGH3	KLMA_90003
W0TGH4	KLMA_70043
W0TGH5	KLMA_70325
W0TGH7	KLMA_50565
W0TGI7	KLMA_50575
W0TGI8	KLMA_70058
W0TGJ8	KLMA_50585
W0TGK0	KLMA_70073
W0TGK3	KLMA_50590
W0TGM9	KLMA_80209
W0TGN2	KLMA_70380
W0TGN7	KLMA_70385
W0TGP2	KLMA_70123
W0TGP4	KLMA_80229
W0TGP6	KLMA_70395
W0TGP7	KLMA_80234
W0TGP9	KLMA_70400
W0TGQ1	KLMA_70138
W0TGQ5	KLMA_80249
W0TGQ6	KLMA_70410
W0TGQ7	KLMA_70148
W0TGR0	KLMA_70153
W0TGR3	KLMA_80259
W0TGR4	KLMA_70158
W0TGS1	KLMA_80269
W0TGS6	KLMA_60008
W0TGT3	KLMA_70435
W0TGU3	KLMA_70193
W0TGU7	KLMA_60028
W0TGV8	KLMA_80309
W0TGW0	KLMA_60043
W0TGW5	KLMA_70218
W0TGW9	KLMA_70223
W0TGX0	KLMA_70445
W0TGX8	KLMA_70455
W0TGY9	KLMA_80339
W0TGZ0	KLMA_60078
W0TGZ2	KLMA_70248
W0TGZ5	KLMA_80344
W0TGZ7	KLMA_80012
W0TGZ8	KLMA_60088
W0TH02	KLMA_80017
W0TH13	KLMA_60103
W0TH18	KLMA_60108
W0TH19	KLMA_80037
W0TH20	KLMA_80369
W0TH21	KLMA_60113
W0TH25	KLMA_60118
W0TH32	KLMA_80379
W0TH34	KLMA_70283
W0TH35	KLMA_60128
W0TH45	KLMA_60138
W0TH51	KLMA_80072
W0TH56	KLMA_80077
W0TH63	KLMA_60158
W0TH65	KLMA_70313
W0TH68	KLMA_60163
W0TH97	KLMA_90011
W0THA5	KLMA_80127
W0THA7	KLMA_60203
W0THA9	KLMA_80132
W0THB9	KLMA_80142
W0THC2	KLMA_60218
W0THC5	KLMA_70373
W0THD8	KLMA_70383
W0THE4	KLMA_60243
W0THF3	KLMA_70403
W0THG6	KLMA_80197
W0THH0	KLMA_80202
W0THH1	KLMA_60278
W0THH8	KLMA_60288
W0THI8	KLMA_60298
W0THJ1	KLMA_80227
W0THL3	KLMA_80252
W0THL7	KLMA_60333
W0THL8	KLMA_80257
W0THM0	KLMA_60338
W0THP7	KLMA_80010
W0THQ3	KLMA_80292
W0THQ7	KLMA_60373
W0THR5	KLMA_80302
W0THS3	KLMA_80312
W0THS6	KLMA_60393
W0THS8	KLMA_80045
W0THS9	KLMA_80317
W0THU4	KLMA_80332
W0THU9	KLMA_80337
W0THZ4	KLMA_60458
W0THZ6	KLMA_80382
W0THZ8	KLMA_60463
W0TI16	KLMA_80145
W0TI17	KLMA_80402
W0TI22	KLMA_80407
W0TI26	KLMA_80155
W0TI27	KLMA_80412
W0TI30	KLMA_60493
W0TI32	KLMA_80417
W0TI38	KLMA_80170
W0TI46	KLMA_90004
W0TI50	KLMA_90009
W0TI55	KLMA_80195
W0TI60	KLMA_60503
W0TI65	KLMA_60508
W0TI75	KLMA_60523
W0TI78	KLMA_60528
W0TI86	KLMA_60538
W0TI87	KLMA_80235
W0TI96	KLMA_80245
W0TIB4	KLMA_80265
W0TIC5	KLMA_70031
W0TIE3	KLMA_80295
W0TIE6	KLMA_70056
W0TIE9	KLMA_80300
W0TIH4	KLMA_70086
W0TIH9	KLMA_70091
W0TIJ0	KLMA_80340
W0TIJ6	KLMA_80345
W0TIL2	KLMA_80360
W0TIL9	KLMA_80365
W0TIM9	KLMA_80375
W0TIP5	KLMA_80390
W0TIQ0	KLMA_80395
W0TIQ3	KLMA_70171
W0TIR8	KLMA_80410
W0TIS0	KLMA_70191
W0TIS5	KLMA_70196
W0TIT8	KLMA_70211
W0TIU0	KLMA_90002
W0TIU1	KLMA_70216
W0TIU5	KLMA_90007
W0TIV7	KLMA_70231
W0TIX0	KLMA_70246
W0TIX8	KLMA_70256
W0TIY0	KLMA_70261
W0TIZ7	KLMA_70281
W0TJ13	KLMA_70301
W0TJ17	KLMA_70306
W0TJ21	KLMA_70311
W0TJ26	KLMA_70316
W0TJ35	KLMA_70326
W0TJ41	KLMA_70331
W0TJ55	KLMA_70346
W0TJ73	KLMA_70361
W0TJ94	KLMA_70381
W0TJA1	KLMA_70386
W0TJB7	KLMA_70401
W0TJH3	KLMA_70441
W0TJL5	KLMA_80013
W0TJL8	KLMA_80018
W0TJM6	KLMA_80028
W0TJN0	KLMA_80033
W0TJP1	KLMA_80048
W0TJR6	KLMA_80078
W0TJS8	KLMA_80093
W0TJT3	KLMA_80098
W0TJT7	KLMA_80103
W0TJU9	KLMA_80118
W0TJV1	KLMA_80123
W0TJV6	KLMA_80128
W0TK00	KLMA_80173
W0TK22	KLMA_80198
W0TK50	KLMA_80228
W0TK60	KLMA_80238
W0TK65	KLMA_80243
W0TK92	KLMA_80268
W0TKB8	KLMA_80298
W0TKC9	KLMA_80313
W0TKD3	KLMA_80318
W0TKE3	KLMA_80328
W0TKF9	KLMA_80348
W0TKL4	KLMA_80403
W0TKM4	KLMA_80413
W0TKP5	KLMA_90005
W0TKQ2	KLMA_90010
A0A1L7LMB6	KLMA_80429
A0A1L7LMC4	KLMA_30730
A0A1L7LME2	KLMA_60558
A0A1L7LMF1	KLMA_20838
A0A1L7LMG7	KLMA_50638
A0A1L7LMG8	KLMA_40632
Q8J2P7	
W0T241	KLMA_10005
W0T243	KLMA_10010
W0T247	KLMA_10015
W0T253	KLMA_10020
W0T257	KLMA_10025
W0T261	KLMA_10030
W0T269	KLMA_10040
W0T273	KLMA_10045
W0T280	KLMA_10050
W0T285	KLMA_10055
W0T298	KLMA_10070
W0T2A8	KLMA_10080
W0T2B3	KLMA_10085
W0T2B8	KLMA_10090
W0T2C3	KLMA_10095
W0T2C9	KLMA_10100
W0T2D8	KLMA_10110
W0T2E3	KLMA_10115
W0T2E8	KLMA_10120
W0T2F8	KLMA_10130
W0T2G6	KLMA_10140
W0T2H3	KLMA_10145
W0T2H8	KLMA_10150
W0T2I1	KLMA_10155
W0T2I4	KLMA_10160
W0T2J0	KLMA_10003
W0T2J4	KLMA_10008
W0T2J7	KLMA_10013
W0T2K0	KLMA_10018
W0T2K4	KLMA_10023
W0T2K7	KLMA_10170
W0T2L0	KLMA_10028
W0T2L1	KLMA_10175
W0T2L4	KLMA_10033
W0T2L9	KLMA_10038
W0T2M1	KLMA_10190
W0T2M3	KLMA_10043
W0T2M5	KLMA_10195
W0T2M7	KLMA_10048
W0T2N8	KLMA_10058
W0T2P3	KLMA_10063
W0T2Q0	KLMA_10068
W0T2Q8	KLMA_10235
W0T2R0	KLMA_10078
W0T2R2	KLMA_10240
W0T2R5	KLMA_10083
W0T2R7	KLMA_10245
W0T2S0	KLMA_10088
W0T2S1	KLMA_10250
W0T2T8	KLMA_10103
W0T2U2	KLMA_10275
W0T2U8	KLMA_10113
W0T2V2	KLMA_10118
W0T2V6	KLMA_10290
W0T2V8	KLMA_10123
W0T2W0	KLMA_10295
W0T2W9	KLMA_10305
W0T2X0	KLMA_10133
W0T2X2	KLMA_10310
W0T2X5	KLMA_10138
W0T2X7	KLMA_10315
W0T2Y4	KLMA_10148
W0T2Y7	KLMA_10325
W0T2Z1	KLMA_10330
W0T305	KLMA_10345
W0T310	KLMA_10350
W0T312	KLMA_10355
W0T316	KLMA_10360
W0T325	KLMA_10370
W0T333	KLMA_10380
W0T337	KLMA_10385
W0T339	KLMA_10173
W0T348	KLMA_10183
W0T349	KLMA_10400
W0T354	KLMA_10405
W0T355	KLMA_10188
W0T359	KLMA_10410
W0T364	KLMA_10415
W0T367	KLMA_10203
W0T369	KLMA_10420
W0T371	KLMA_10208
W0T373	KLMA_10425
W0T376	KLMA_10213
W0T377	KLMA_10430
W0T381	KLMA_10218
W0T385	KLMA_10223
W0T386	KLMA_10440
W0T389	KLMA_10228
W0T390	KLMA_10445
W0T393	KLMA_10233
W0T398	KLMA_10238
W0T3A3	KLMA_10460
W0T3A7	KLMA_10465
W0T3B5	KLMA_10258
W0T3B6	KLMA_10475
W0T3C1	KLMA_10480
W0T3C3	KLMA_10268
W0T3D1	KLMA_10278
W0T3D3	KLMA_10495
W0T3D4	KLMA_10283
W0T3D7	KLMA_10500
W0T3E4	KLMA_10293
W0T3E9	KLMA_10298
W0T3F1	KLMA_10515
W0T3F3	KLMA_10303
W0T3F6	KLMA_10520
W0T3G6	KLMA_10530
W0T3G8	KLMA_10318
W0T3H0	KLMA_10535
W0T3H3	KLMA_10323
W0T3I1	KLMA_10545
W0T3I3	KLMA_10333
W0T3I9	KLMA_10338
W0T3J5	KLMA_10560
W0T3J8	KLMA_10348
W0T3J9	KLMA_10565
W0T3K2	KLMA_10006
W0T3K4	KLMA_10358
W0T3K6	KLMA_10570
W0T3K8	KLMA_10011
W0T3K9	KLMA_10363
W0T3L3	KLMA_10016
W0T3L4	KLMA_10368
W0T3L7	KLMA_10021
W0T3L8	KLMA_10580
W0T3L9	KLMA_10373
W0T3M1	KLMA_10026
W0T3M4	KLMA_10585
W0T3M9	KLMA_10590
W0T3N2	KLMA_10388
W0T3N4	KLMA_10036
W0T3N7	KLMA_10393
W0T3N8	KLMA_10041
W0T3P0	KLMA_10600
W0T3P2	KLMA_10398
W0T3P5	KLMA_10605
W0T3P7	KLMA_10403
W0T3Q1	KLMA_10610
W0T3Q2	KLMA_10408
W0T3Q4	KLMA_10056
W0T3Q6	KLMA_10615
W0T3Q7	KLMA_10413
W0T3Q8	KLMA_10061
W0T3R3	KLMA_10620
W0T3R4	KLMA_10066
W0T3R7	KLMA_10423
W0T3S0	KLMA_10071
W0T3S2	KLMA_10428
W0T3S4	KLMA_10630
W0T3S5	KLMA_10076
W0T3S7	KLMA_10433
W0T3S9	KLMA_10635
W0T3T0	KLMA_10081
W0T3T3	KLMA_10438
W0T3T5	KLMA_10640
W0T3T9	KLMA_10443
W0T3U4	KLMA_10448
W0T3U7	KLMA_10096
W0T3U8	KLMA_10453
W0T3V2	KLMA_10101
W0T3V3	KLMA_10458
W0T3V7	KLMA_10106
W0T3W1	KLMA_10111
W0T3W8	KLMA_10478
W0T3X1	KLMA_10121
W0T3Y1	KLMA_10131
W0T3Y5	KLMA_10136
W0T3Y7	KLMA_10498
W0T3Z0	KLMA_10141
W0T3Z2	KLMA_10503
W0T3Z6	KLMA_10146
W0T3Z7	KLMA_10675
W0T3Z8	KLMA_10508
W0T402	KLMA_10151
W0T403	KLMA_10513
W0T406	KLMA_10685
W0T407	KLMA_10156
W0T408	KLMA_10518
W0T412	KLMA_10161
W0T413	KLMA_10523
W0T415	KLMA_10695
W0T417	KLMA_10528
W0T419	KLMA_10700
W0T421	KLMA_10533
W0T426	KLMA_10538
W0T427	KLMA_10710
W0T428	KLMA_10166
W0T431	KLMA_10715
W0T432	KLMA_10543
W0T433	KLMA_10720
W0T436	KLMA_10548
W0T437	KLMA_10725
W0T441	KLMA_10730
W0T443	KLMA_10735
W0T444	KLMA_10558
W0T447	KLMA_10171
W0T448	KLMA_10740
W0T455	KLMA_10568
W0T457	KLMA_10750
W0T460	KLMA_10573
W0T461	KLMA_10755
W0T462	KLMA_10186
W0T464	KLMA_10578
W0T467	KLMA_10191
W0T469	KLMA_10583
W0T471	KLMA_10004
W0T474	KLMA_10588
W0T475	KLMA_10201
W0T476	KLMA_10770
W0T477	KLMA_10009
W0T479	KLMA_10593
W0T481	KLMA_10775
W0T482	KLMA_10014
W0T484	KLMA_10598
W0T486	KLMA_10211
W0T487	KLMA_10019
W0T490	KLMA_10603
W0T494	KLMA_10221
W0T496	KLMA_10608
W0T497	KLMA_10029
W0T498	KLMA_10795
W0T499	KLMA_10226
W0T4A0	KLMA_10613
W0T4A2	KLMA_10800
W0T4A3	KLMA_10034
W0T4A5	KLMA_10618
W0T4A9	KLMA_10039
W0T4B2	KLMA_10810
W0T4B3	KLMA_10241
W0T4B4	KLMA_10044
W0T4B5	KLMA_10628
W0T4B6	KLMA_10815
W0T4B8	KLMA_10246
W0T4C0	KLMA_10820
W0T4C5	KLMA_10054
W0T4C6	KLMA_10256
W0T4C7	KLMA_10638
W0T4C9	KLMA_10830
W0T4D2	KLMA_10643
W0T4D4	KLMA_10835
W0T4D5	KLMA_10266
W0T4D7	KLMA_10648
W0T4D8	KLMA_20004
W0T4E0	KLMA_10271
W0T4E1	KLMA_10069
W0T4E2	KLMA_20009
W0T4E4	KLMA_20014
W0T4E6	KLMA_10276
W0T4E7	KLMA_10074
W0T4E9	KLMA_10281
W0T4F0	KLMA_20019
W0T4F4	KLMA_20024
W0T4F6	KLMA_10084
W0T4F9	KLMA_20029
W0T4G0	KLMA_10296
W0T4G1	KLMA_10089
W0T4G4	KLMA_10301
W0T4G5	KLMA_20039
W0T4G9	KLMA_20044
W0T4H1	KLMA_10099
W0T4H2	KLMA_10311
W0T4H4	KLMA_20049
W0T4H8	KLMA_20054
W0T4H9	KLMA_10321
W0T4I2	KLMA_10326
W0T4I3	KLMA_20059
W0T4I5	KLMA_10114
W0T4I6	KLMA_10331
W0T4I7	KLMA_20064
W0T4I9	KLMA_10119
W0T4J1	KLMA_10673
W0T4J2	KLMA_20069
W0T4J5	KLMA_10124
W0T4J6	KLMA_20074
W0T4J9	KLMA_10346
W0T4K0	KLMA_10129
W0T4K1	KLMA_10683
W0T4K2	KLMA_20079
W0T4K3	KLMA_10351
W0T4K5	KLMA_10688
W0T4K7	KLMA_10134
W0T4L1	KLMA_20089
W0T4L3	KLMA_10698
W0T4L4	KLMA_10361
W0T4L5	KLMA_20094
W0T4L6	KLMA_10366
W0T4L8	KLMA_10703
W0T4L9	KLMA_10144
W0T4M0	KLMA_10371
W0T4M3	KLMA_10149
W0T4M5	KLMA_10376
W0T4M6	KLMA_20104
W0T4M7	KLMA_10713
W0T4N0	KLMA_10381
W0T4N2	KLMA_20109
W0T4N3	KLMA_10386
W0T4N8	KLMA_10391
W0T4N9	KLMA_10728
W0T4P0	KLMA_20119
W0T4P2	KLMA_20124
W0T4P3	KLMA_10733
W0T4P5	KLMA_10738
W0T4P8	KLMA_10401
W0T4P9	KLMA_10743
W0T4Q0	KLMA_10164
W0T4Q5	KLMA_10411
W0T4Q8	KLMA_10753
W0T4R0	KLMA_20144
W0T4R1	KLMA_10758
W0T4R3	KLMA_10421
W0T4R4	KLMA_20149
W0T4R6	KLMA_10426
W0T4R8	KLMA_20154
W0T4R9	KLMA_10169
W0T4S0	KLMA_10768
W0T4S1	KLMA_10431
W0T4S4	KLMA_10773
W0T4S7	KLMA_20164
W0T4S8	KLMA_10778
W0T4S9	KLMA_10174
W0T4T2	KLMA_10783
W0T4T4	KLMA_10446
W0T4T7	KLMA_10788
W0T4U0	KLMA_20179
W0T4U1	KLMA_10184
W0T4U2	KLMA_10793
W0T4U7	KLMA_10798
W0T4U9	KLMA_20189
W0T4V1	KLMA_10194
W0T4V2	KLMA_10803
W0T4V3	KLMA_20194
W0T4V4	KLMA_10466
W0T4V6	KLMA_10808
W0T4V9	KLMA_10471
