accession	kmORF	orth_num	ORF	gene	species
W0T9Z7	KLMA_30341	orth1	YHR072W	ERG7	Kmarx
W0TA07	KLMA_40231	orth1	YKR031C	SPO14	Kmarx
W0TA09	KLMA_30563	orth1	YKL116C	PRR1	Kmarx
W0TA12	KLMA_40236	orth1	YKR037C	SPC34	Kmarx
W0TA13	KLMA_20476	orth1	YCL008C	STP22	Kmarx
W0TA16	KLMA_30361	orth1	YBR162W-A	YSY6	Kmarx
W0TA18	KLMA_30573	orth1	YJL107C	NA	Kmarx
W0TA18	KLMA_30573	orth2	YJL108C	PRM10	Kmarx
W0TA20	KLMA_40448	orth1	YML077W	BET5	Kmarx
W0TA23	KLMA_30578	orth1	YOL090W	MSH2	Kmarx
W0TA25	KLMA_40453	orth1	YLR405W	DUS4	Kmarx
W0TA32	KLMA_30588	orth1	YOR360C	PDE2	Kmarx
W0TA34	KLMA_20496	orth1	YPR182W	SMX3	Kmarx
W0TA38	KLMA_40468	orth1	YLR395C	COX8	Kmarx
W0TA47	KLMA_40478	orth1	YPR190C	RPC82	Kmarx
W0TA57	KLMA_20521	orth1	YIL038C	NOT3	Kmarx
W0TA62	KLMA_20526	orth1	YIL034C	CAP2	Kmarx
W0TA64	KLMA_40498	orth1	YJR135W-A	TIM8	Kmarx
W0TA79	KLMA_20551	orth1	YHR007C	ERG11	Kmarx
W0TA80	KLMA_30643	orth1	YOR155C	ISN1	Kmarx
W0TA94	KLMA_20566	orth1	YOR143C	THI80	Kmarx
W0TA95	KLMA_30658	orth1	YEL050C	RML2	Kmarx
W0TA96	KLMA_40286	orth1	YJL011C	RPC17	Kmarx
W0TA99	KLMA_20571	orth1	YOR141C	ARP8	Kmarx
W0TAB1	KLMA_20586	orth1	YDR384C	ATO3	Kmarx
W0TAB5	KLMA_30461	orth1	YPL175W	SPT14	Kmarx
W0TAB9	KLMA_30466	orth1	YOR259C	RPT4	Kmarx
W0TAC7	KLMA_40316	orth1	YKL048C	ELM1	Kmarx
W0TAE2	KLMA_30486	orth1	YNR020C	ATP23	Kmarx
W0TAE6	KLMA_20616	orth1	YDR370C	DXO1	Kmarx
W0TAE7	KLMA_40341	NA	NA	NA	Kmarx
W0TAF8	KLMA_40603	orth1	YDR430C	CYM1	Kmarx
W0TAG0	KLMA_30491	orth1	YCR053W	THR4	Kmarx
W0TAG3	KLMA_40608	orth1	YDR429C	TIF35	Kmarx
W0TAG6	KLMA_40004	orth1	YDL244W	THI13	Kmarx
W0TAG6	KLMA_40004	orth2	YFL058W	THI5	Kmarx
W0TAG6	KLMA_40004	orth3	YJR156C	THI11	Kmarx
W0TAG6	KLMA_40004	orth4	YNL332W	THI12	Kmarx
W0TAG9	KLMA_40371	orth1	YIL137C	TMA108	Kmarx
W0TAH2	KLMA_20646	orth1	YDL102W	POL3	Kmarx
W0TAH6	KLMA_40381	orth1	YKL046C	DCW1	Kmarx
W0TAI6	KLMA_40391	orth1	YOL126C	MDH2	Kmarx
W0TAI8	KLMA_40029	orth1	YLR321C	SFH1	Kmarx
W0TAJ4	KLMA_50013	orth1	YAL058W	CNE1	Kmarx
W0TAK1	KLMA_30516	orth1	YDL208W	NHP2	Kmarx
W0TAK2	KLMA_20676	orth1	YDL105W	NSE4	Kmarx
W0TAK3	KLMA_40044	orth1	YGR007W	ECT1	Kmarx
W0TAK5	KLMA_30521	orth1	YDL207W	GLE1	Kmarx
W0TAK9	KLMA_40049	orth1	YGR014W	MSB2	Kmarx
W0TAL0	KLMA_30526	orth1	YDL205C	HEM3	Kmarx
W0TAL4	KLMA_40054	orth1	YDL079C	MRK1	Kmarx
W0TAL4	KLMA_40054	orth2	YMR139W	RIM11	Kmarx
W0TAL6	KLMA_40426	orth1	YOR274W	MOD5	Kmarx
W0TAM0	KLMA_30536	orth1	YML036W	CGI121	Kmarx
W0TAM2	KLMA_50038	orth1	YOR202W	HIS3	Kmarx
W0TAM7	KLMA_50043	orth1	YOR207C	RET1	Kmarx
W0TAN1	KLMA_40441	orth1	YML071C	COG8	Kmarx
W0TAN2	KLMA_50048	NA	NA	NA	Kmarx
W0TAN3	KLMA_30551	NA	NA	NA	Kmarx
W0TAN4	KLMA_40074	orth1	YLR032W	RAD5	Kmarx
W0TAN6	KLMA_20706	orth1	YDR054C	CDC34	Kmarx
W0TAN7	KLMA_30556	orth1	YMR250W	GAD1	Kmarx
W0TAQ7	KLMA_20726	orth1	YDL219W	DTD1	Kmarx
W0TAQ9	KLMA_40471	orth1	YPR183W	DPM1	Kmarx
W0TAR1	KLMA_20731	orth1	YDL217C	TIM22	Kmarx
W0TAR3	KLMA_40104	orth1	YGR158C	MTR3	Kmarx
W0TAR8	KLMA_40481	orth1	YHR204W	MNL1	Kmarx
W0TAR9	KLMA_40109	orth1	YBR058C	UBP14	Kmarx
W0TAS3	KLMA_40486	orth1	YJR143C	PMT4	Kmarx
W0TAS4	KLMA_40114	orth1	YDR045C	RPC11	Kmarx
W0TAS7	KLMA_50088	NA	NA	NA	Kmarx
W0TAU1	KLMA_30616	orth1	YPR008W	HAA1	Kmarx
W0TAU2	KLMA_40506	orth1	YHR193C	EGD2	Kmarx
W0TAU4	KLMA_20761	orth1	YHR142W	CHS7	Kmarx
W0TAU6	KLMA_30621	orth1	YKR007W	MEH1	Kmarx
W0TAU8	KLMA_40139	orth1	YLR089C	ALT1	Kmarx
W0TAU9	KLMA_20766	orth1	YNL142W	MEP2	Kmarx
W0TAV1	KLMA_30626	orth1	YHR001W	OSH7	Kmarx
W0TAV5	KLMA_50113	orth1	YOR326W	MYO2	Kmarx
W0TAW2	KLMA_50118	orth1	YAL026C	DRS2	Kmarx
W0TAX1	KLMA_30646	orth1	YOR159C	SME1	Kmarx
W0TAX3	KLMA_50128	orth1	YDR211W	GCD6	Kmarx
W0TAX5	KLMA_20791	NA	NA	NA	Kmarx
W0TAX6	KLMA_30651	orth1	YOR156C	NFI1	Kmarx
W0TAX8	KLMA_40546	orth1	YPL211W	NIP7	Kmarx
W0TAY6	KLMA_40556	orth1	YPL218W	SAR1	Kmarx
W0TAZ1	KLMA_30671	orth1	YML008C	ERG6	Kmarx
W0TAZ2	KLMA_20811	orth1	YOR209C	NPT1	Kmarx
W0TAZ7	KLMA_20816	orth1	YPL123C	RNY1	Kmarx
W0TAZ8	KLMA_40571	orth1	YDR454C	GUK1	Kmarx
W0TB00	KLMA_30681	orth1	YER039C	HVG1	Kmarx
W0TB00	KLMA_30681	orth2	YGL225W	VRG4	Kmarx
W0TB02	KLMA_20821	orth1	YBR286W	APE3	Kmarx
W0TB15	KLMA_40596	orth1	YDR436W	PPZ2	Kmarx
W0TB21	KLMA_40224	orth1	YBR154C	RPB5	Kmarx
W0TB22	KLMA_30711	orth1	YIL147C	SLN1	Kmarx
W0TB23	KLMA_50143	orth1	YGL048C	RPT6	Kmarx
W0TB24	KLMA_40606	orth1	YML010W	SPT5	Kmarx
W0TB28	KLMA_40611	NA	NA	NA	Kmarx
W0TB30	KLMA_40234	orth1	YJL111W	CCT7	Kmarx
W0TB33	KLMA_30726	orth1	YFL060C	SNO3	Kmarx
W0TB33	KLMA_30726	orth2	YMR095C	SNO1	Kmarx
W0TB33	KLMA_30726	orth3	YNL334C	SNO2	Kmarx
W0TB39	KLMA_40244	orth1	YDR406W	PDR15	Kmarx
W0TB39	KLMA_40244	orth2	YOR153W	PDR5	Kmarx
W0TB39	KLMA_40244	orth3	YOR328W	PDR10	Kmarx
W0TB40	KLMA_50168	orth1	YML065W	ORC1	Kmarx
W0TB44	KLMA_40249	orth1	YHR032W	ERC1	Kmarx
W0TB46	KLMA_40012	orth1	YNR053C	NOG2	Kmarx
W0TB47	KLMA_50178	orth1	YLR438W	CAR2	Kmarx
W0TB49	KLMA_50006	NA	NA	NA	Kmarx
W0TB52	KLMA_40259	orth1	YJR016C	ILV3	Kmarx
W0TB60	KLMA_50016	orth1	YAL060W	BDH1	Kmarx
W0TB61	KLMA_30009	NA	NA	NA	Kmarx
W0TB67	KLMA_40037	orth1	YLR323C	CWC24	Kmarx
W0TB73	KLMA_30024	orth1	YGR234W	YHB1	Kmarx
W0TB78	KLMA_30029	orth1	YKL211C	TRP3	Kmarx
W0TB79	KLMA_50036	orth1	YPL117C	IDI1	Kmarx
W0TB80	KLMA_50223	orth1	YKL197C	PEX1	Kmarx
W0TB83	KLMA_30039	orth1	YJR072C	NPA3	Kmarx
W0TB84	KLMA_50228	orth1	YFR027W	ECO1	Kmarx
W0TB85	KLMA_50041	orth1	YOR204W	DED1	Kmarx
W0TB85	KLMA_50041	orth2	YPL119C	DBP1	Kmarx
W0TB87	KLMA_30044	orth1	YJR068W	RFC2	Kmarx
W0TB91	KLMA_30049	orth1	YJR064W	CCT5	Kmarx
W0TB92	KLMA_50238	orth1	YDR017C	KCS1	Kmarx
W0TB96	KLMA_50243	orth1	YDR013W	PSF1	Kmarx
W0TB97	KLMA_40072	orth1	YMR128W	ECM16	Kmarx
W0TB98	KLMA_30059	orth1	YKL010C	UFD4	Kmarx
W0TBA0	KLMA_50248	orth1	YJL164C	TPK1	Kmarx
W0TBA0	KLMA_50248	orth2	YKL166C	TPK3	Kmarx
W0TBA2	KLMA_30064	orth1	YHL002W	HSE1	Kmarx
W0TBB3	KLMA_50071	orth1	YJL062W	LAS21	Kmarx
W0TBB5	KLMA_40274	orth1	YGL173C	XRN1	Kmarx
W0TBB8	KLMA_50273	orth1	YLR370C	ARC18	Kmarx
W0TBC6	KLMA_40102	orth1	YMR303C	ADH2	Kmarx
W0TBC6	KLMA_40102	orth2	YOL086C	ADH1	Kmarx
W0TBC7	KLMA_50283	orth1	YGR061C	ADE6	Kmarx
W0TBD2	KLMA_40107	orth1	YDR035W	ARO3	Kmarx
W0TBD3	KLMA_30099	orth1	YKL127W	PGM1	Kmarx
W0TBD3	KLMA_30099	orth2	YMR105C	PGM2	Kmarx
W0TBD6	KLMA_50293	orth1	YMR228W	MTF1	Kmarx
W0TBE5	KLMA_30114	orth1	YKL134C	OCT1	Kmarx
W0TBE8	KLMA_40122	orth1	YDR037W	KRS1	Kmarx
W0TBF1	KLMA_50308	orth1	YLR195C	NMT1	Kmarx
W0TBF2	KLMA_50106	orth1	YAL032C	PRP45	Kmarx
W0TBF3	KLMA_40309	orth1	YKL065C	YET1	Kmarx
W0TBF3	KLMA_40309	orth2	YMR040W	YET2	Kmarx
W0TBF6	KLMA_30124	orth1	YKL141W	SDH3	Kmarx
W0TBG5	KLMA_30134	orth1	YER139C	RTR1	Kmarx
W0TBG7	KLMA_40324	orth1	YPL008W	CHL1	Kmarx
W0TBH1	KLMA_30139	orth1	YBL024W	NCL1	Kmarx
W0TBH2	KLMA_50126	orth1	YDR212W	TCP1	Kmarx
W0TBH5	KLMA_50333	orth1	YMR189W	GCV2	Kmarx
W0TBI1	KLMA_30149	orth1	YLR174W	IDP2	Kmarx
W0TBI3	KLMA_30154	orth1	YJL101C	GSH1	Kmarx
W0TBI7	KLMA_50348	orth1	YHR075C	PPE1	Kmarx
W0TBJ2	KLMA_30164	orth1	YJL091C	GWT1	Kmarx
W0TBJ4	KLMA_40167	orth1	YLR105C	SEN2	Kmarx
W0TBJ5	KLMA_10229 KLMA_50136	orth1	YOR187W	TUF1	Kmarx
W0TBJ6	KLMA_50358	orth1	YHR079C	IRE1	Kmarx
W0TBK0	KLMA_50363	orth1	YHR096C	HXT5	Kmarx
W0TBK3	KLMA_40177	orth1	YLR272C	YCS4	Kmarx
W0TBK7	KLMA_40182	orth1	YLR270W	DCS1	Kmarx
W0TBK8	KLMA_50373	orth1	YER009W	NTF2	Kmarx
W0TBK9	KLMA_30184	orth1	YDL007W	RPT2	Kmarx
W0TBL3	KLMA_40379	orth1	YMR021C	MAC1	Kmarx
W0TBM3	KLMA_30204	orth1	YGR175C	ERG1	Kmarx
W0TBM5	KLMA_50393	orth1	YIL003W	CFD1	Kmarx
W0TBM7	KLMA_30209	orth1	YGR184C	UBR1	Kmarx
W0TBM8	KLMA_40399	orth1	YOL132W	GAS4	Kmarx
W0TBN0	KLMA_40207	orth1	YDR205W	MSC2	Kmarx
W0TBN3	KLMA_50403	orth1	YIL009C-A	EST3	Kmarx
W0TBN6	KLMA_50141	orth1	YGR163W	GTR2	Kmarx
W0TBP0	KLMA_50146	orth1	YGL019W	CKB1	Kmarx
W0TBP1	KLMA_40217	orth1	YNL192W	CHS1	Kmarx
W0TBP4	KLMA_40419	orth1	YOR271C	FSF1	Kmarx
W0TBP6	KLMA_30229	orth1	YLL008W	DRS1	Kmarx
W0TBQ4	KLMA_50161	orth1	YML070W	DAK1	Kmarx
W0TBR0	KLMA_40434	orth1	YGR252W	GCN5	Kmarx
W0TBS0	KLMA_40444	orth1	YML074C	FPR3	Kmarx
W0TBS7	KLMA_50186	orth1	YLR430W	SEN1	Kmarx
W0TBS8	KLMA_40252	orth1	YKL160W	ELF1	Kmarx
W0TBT0	KLMA_40454	orth1	YDL074C	BRE1	Kmarx
W0TBT4	KLMA_50196	orth1	YLR343W	GAS2	Kmarx
W0TBT5	KLMA_40459	orth1	YDL072C	YET3	Kmarx
W0TBT7	KLMA_30269	orth1	YOR067C	ALG8	Kmarx
W0TBT9	KLMA_30274	orth1	YEL047C	FRD1	Kmarx
W0TBT9	KLMA_30274	orth2	YJR051W	OSM1	Kmarx
W0TBU5	KLMA_40469	orth1	YLR394W	CST9	Kmarx
W0TBU7	KLMA_30284	orth1	YEL039C	CYC7	Kmarx
W0TBU7	KLMA_30284	orth2	YJR048W	CYC1	Kmarx
W0TBV1	KLMA_50216	orth1	YKL095W	YJU2	Kmarx
W0TBV7	KLMA_50226	orth1	YJR057W	CDC8	Kmarx
W0TBW0	KLMA_30299	orth1	YER165W	PAB1	Kmarx
W0TBW1	KLMA_50231	orth1	YDR019C	GCV1	Kmarx
W0TBW7	KLMA_50488	orth1	YJL153C	INO1	Kmarx
W0TBW9	KLMA_50241	orth1	YBR035C	PDX3	Kmarx
W0TBX1	KLMA_50493	orth1	YDR148C	KGD2	Kmarx
W0TBX3	KLMA_30314	orth1	YLR305C	STT4	Kmarx
W0TBX8	KLMA_40509	orth1	YJR131W	MNS1	Kmarx
W0TBY5	KLMA_30329	orth1	YPL178W	CBC2	Kmarx
W0TBY6	KLMA_40519	orth1	YML078W	CPR3	Kmarx
W0TBY7	KLMA_50513	orth1	YLR142W	PUT1	Kmarx
W0TBZ3	KLMA_50271	orth1	YLR372W	ELO3	Kmarx
W0TBZ7	KLMA_50523	orth1	YLR147C	SMD3	Kmarx
W0TC01	KLMA_40534	orth1	YLR417W	VPS36	Kmarx
W0TC07	KLMA_50286	orth1	YGR059W	SPR3	Kmarx
W0TC08	KLMA_40287	orth1	YGR189C	CRH1	Kmarx
W0TC09	KLMA_50533	orth1	YLR153C	ACS2	Kmarx
W0TC22	KLMA_30364	orth1	YBR163W	EXO5	Kmarx
W0TC29	KLMA_50311	orth1	YLR197W	NOP56	Kmarx
W0TC32	KLMA_30374	orth1	YER157W	COG3	Kmarx
W0TC34	KLMA_40317	orth1	YMR036C	MIH1	Kmarx
W0TC38	KLMA_40569	orth1	YML031W	NDC1	Kmarx
W0TC40	KLMA_50321	orth1	YLR205C	HMX1	Kmarx
W0TC41	KLMA_30384	orth1	YIL142W	CCT2	Kmarx
W0TC42	KLMA_50563	orth1	YLR246W	ERF2	Kmarx
W0TC44	KLMA_40574	orth1	YDR453C	TSA2	Kmarx
W0TC44	KLMA_40574	orth2	YML028W	TSA1	Kmarx
W0TC50	KLMA_50331	orth1	YMR190C	SGS1	Kmarx
W0TC53	KLMA_50573	orth1	YLR242C	ARV1	Kmarx
W0TC56	KLMA_40342	orth1	YER052C	HOM3	Kmarx
W0TC59	KLMA_40589	orth1	YML021C	UNG1	Kmarx
W0TC65	KLMA_50583	orth1	YDR201W	SPC19	Kmarx
W0TC70	KLMA_50351	orth1	YDR322C-A	TIM11	Kmarx
W0TC73	KLMA_30414	orth1	YHR041C	SRB2	Kmarx
W0TC82	KLMA_30424	orth1	YHR037W	PUT2	Kmarx
W0TC88	KLMA_40619	orth1	YGL120C	PRP43	Kmarx
W0TC93	KLMA_40624	NA	NA	NA	Kmarx
W0TC96	KLMA_40387	orth1	YMR026C	PEX12	Kmarx
W0TC97	KLMA_50613	orth1	YDL238C	GUD1	Kmarx
W0TC99	KLMA_50381	orth1	YER005W	YND1	Kmarx
W0TCA0	KLMA_30439	orth1	YHR057C	CPR2	Kmarx
W0TCB2	KLMA_50396	orth1	YIL006W	YIA6	Kmarx
W0TCB3	KLMA_50628	orth1	YNL238W	KEX2	Kmarx
W0TCB9	KLMA_50019	orth1	YAL062W	GDH3	Kmarx
W0TCB9	KLMA_50019	orth2	YOR375C	GDH1	Kmarx
W0TCC2	KLMA_40417	orth1	YOR270C	VPH1	Kmarx
W0TCC3	KLMA_50024	orth1	YPL111W	CAR1	Kmarx
W0TCC5	KLMA_40422	orth1	YOR272W	YTM1	Kmarx
W0TCC7	KLMA_50411	orth1	YOL030W	GAS5	Kmarx
W0TCD1	KLMA_50034	orth1	YOR197W	MCA1	Kmarx
W0TCD3	KLMA_40432	orth1	YHR170W	NMD3	Kmarx
W0TCD9	KLMA_50426	orth1	YPR110C	RPC40	Kmarx
W0TCE1	KLMA_40442	orth1	YML072C	TCB3	Kmarx
W0TCE3	KLMA_30484	orth1	YIL076W	SEC28	Kmarx
W0TCE4	KLMA_50431	orth1	YGR094W	VAS1	Kmarx
W0TCF4	KLMA_50446	orth1	YGR104C	SRB5	Kmarx
W0TCG6	KLMA_60016	orth1	YJL115W	ASF1	Kmarx
W0TCH0	KLMA_60021	NA	NA	NA	Kmarx
W0TCH3	KLMA_40482	orth1	YHR203C	RPS4B	Kmarx
W0TCH3	KLMA_40482	orth2	YJR145C	RPS4A	Kmarx
W0TCH8	KLMA_60031	orth1	YJL125C	GCD14	Kmarx
W0TCI1	KLMA_40492	orth1	YJR138W	IML1	Kmarx
W0TCI2	KLMA_50094	orth1	YBR257W	POP4	Kmarx
W0TCI3	KLMA_60036	orth1	YJL129C	TRK1	Kmarx
W0TCI5	KLMA_30504	orth1	YNR027W	BUD17	Kmarx
W0TCI7	KLMA_50099	orth1	YOR340C	RPA43	Kmarx
W0TCI9	KLMA_50486	orth1	YDR145W	TAF12	Kmarx
W0TCJ9	KLMA_30519	orth1	YDR238C	SEC26	Kmarx
W0TCK6	KLMA_50501	orth1	YDR155C	CPR1	Kmarx
W0TCL1	KLMA_50506	orth1	YLR138W	NHA1	Kmarx
W0TCM0	KLMA_60076	orth1	YLR045C	STU2	Kmarx
W0TCN7	KLMA_60096	orth1	YOR033C	EXO1	Kmarx
W0TCN8	KLMA_40552	orth1	YPL214C	THI6	Kmarx
W0TCN9	KLMA_50536	orth1	YDR173C	ARG82	Kmarx
W0TCP6	KLMA_40562	orth1	YGL139W	FLC3	Kmarx
W0TCP6	KLMA_40562	orth2	YPL221W	FLC1	Kmarx
W0TCQ0	KLMA_40567	orth1	YDR457W	TOM1	Kmarx
W0TCQ7	KLMA_50144	orth1	YGL047W	ALG13	Kmarx
W0TCR3	KLMA_30589	orth1	YAL044C	GCV3	Kmarx
W0TCR7	KLMA_50566	orth1	YLR244C	MAP1	Kmarx
W0TCR8	KLMA_30594	orth1	YOR362C	PRE10	Kmarx
W0TCR9	KLMA_60131	orth1	YBR011C	IPP1	Kmarx
W0TCS1	KLMA_40587	orth1	YML022W	APT1	Kmarx
W0TCS8	KLMA_50576	orth1	YDR194C	MSS116	Kmarx
W0TCT2	KLMA_40597	orth1	YDR435C	PPM1	Kmarx
W0TCT3	KLMA_50581	orth1	YLR239C	LIP2	Kmarx
W0TCT4	KLMA_60146	orth1	YIR026C	YVH1	Kmarx
W0TCT5	KLMA_50174	orth1	YML060W	OGG1	Kmarx
W0TCT8	KLMA_60151	orth1	YKL016C	ATP7	Kmarx
W0TCU4	KLMA_50591	orth1	YNL207W	RIO2	Kmarx
W0TCV2	KLMA_60166	orth1	YKL086W	SRX1	Kmarx
W0TCV6	KLMA_30634	orth1	YLR354C	TAL1	Kmarx
W0TCW1	KLMA_30639	orth1	YGR040W	KSS1	Kmarx
W0TCW6	KLMA_30644	orth1	YOR161C	PNS1	Kmarx
W0TCX0	KLMA_50616	orth1	YNL224C	SQS1	Kmarx
W0TCX1	KLMA_30649	orth1	YOR157C	PUP1	Kmarx
W0TCX2	KLMA_50007	orth1	YOR368W	RAD17	Kmarx
W0TCX4	KLMA_50214	orth1	YPR010C	RPA135	Kmarx
W0TCX9	KLMA_50219	orth1	YMR080C	NAM7	Kmarx
W0TCY0	KLMA_50626	orth1	YNL236W	SIN4	Kmarx
W0TCY1	KLMA_30659	orth1	YDR415C	NA	Kmarx
W0TCY4	KLMA_50017	orth1	YAL061W	BDH2	Kmarx
W0TCY6	KLMA_50631	orth1	YNL241C	ZWF1	Kmarx
W0TCZ2	KLMA_60206	NA	NA	NA	Kmarx
W0TCZ5	KLMA_50239	orth1	YDR016C	DAD1	Kmarx
W0TD06	KLMA_50042	orth1	YPL122C	TFB2	Kmarx
W0TD09	KLMA_50259	orth1	YJL154C	VPS35	Kmarx
W0TD10	KLMA_30694	orth1	YGL233W	SEC15	Kmarx
W0TD14	KLMA_30699	orth1	YGL237C	HAP2	Kmarx
W0TD16	KLMA_50269	orth1	YOL097C	WRS1	Kmarx
W0TD20	KLMA_50057	orth1	YJL050W	MTR4	Kmarx
W0TD23	KLMA_30709	orth1	YGL245W	GUS1	Kmarx
W0TD25	KLMA_60246	orth1	YNL119W	NCS2	Kmarx
W0TD27	KLMA_30714	orth1	YIL150C	MCM10	Kmarx
W0TD31	KLMA_30719	orth1	YKR097W	PCK1	Kmarx
W0TD32	KLMA_50072	orth1	YBR267W	REI1	Kmarx
W0TD36	KLMA_50299	orth1	YLR191W	PEX13	Kmarx
W0TD37	KLMA_30724	orth1	YMR096W	SNZ1	Kmarx
W0TD40	KLMA_50082	orth1	YJL068C	NA	Kmarx
W0TD47	KLMA_50314	orth1	YLR201C	COQ9	Kmarx
W0TD56	KLMA_40020	orth1	YDR177W	UBC1	Kmarx
W0TD58	KLMA_60286	orth1	YOR303W	CPA1	Kmarx
W0TD68	KLMA_40035	orth1	YGR002C	SWC4	Kmarx
W0TD69	KLMA_50117	orth1	YOR323C	PRO2	Kmarx
W0TD71	KLMA_40040	orth1	YGR005C	TFG2	Kmarx
W0TD72	KLMA_60296	orth1	YFL025C	BST1	Kmarx
W0TD74	KLMA_50349	NA	NA	NA	Kmarx
W0TD76	KLMA_60301	orth1	YFL022C	FRS2	Kmarx
W0TD78	KLMA_50127	orth1	YLR229C	CDC42	Kmarx
W0TD83	KLMA_60311	orth1	YHL017W	NA	Kmarx
W0TD83	KLMA_60311	orth2	YKL039W	PTM1	Kmarx
W0TD84	KLMA_40055	orth1	YDL078C	MDH3	Kmarx
W0TD86	KLMA_60009	orth1	YGL142C	GPI10	Kmarx
W0TD99	KLMA_60024	orth1	YJL121C	RPE1	Kmarx
W0TDA0	KLMA_60331	orth1	YMR071C	TVP18	Kmarx
W0TDA1	KLMA_40075	orth1	YMR126C	DLT1	Kmarx
W0TDA2	KLMA_50384	orth1	YER003C	PMI40	Kmarx
W0TDA4	KLMA_40080	orth1	YLR029C	RPL15A	Kmarx
W0TDA4	KLMA_40080	orth2	YMR121C	RPL15B	Kmarx
W0TDA7	KLMA_50389	orth1	YIL002C	INP51	Kmarx
W0TDA8	KLMA_40085	orth1	YLR026C	SED5	Kmarx
W0TDA9	KLMA_60341	orth1	YBR289W	SNF5	Kmarx
W0TDD2	KLMA_50419	orth1	YGR088W	CTT1	Kmarx
W0TDD5	KLMA_60069	orth1	YGR214W	RPS0A	Kmarx
W0TDD5	KLMA_60069	orth2	YLR048W	RPS0B	Kmarx
W0TDD7	KLMA_50152	orth1	YBL008W	HIR1	Kmarx
W0TDD8	KLMA_50424	orth1	YGR090W	UTP22	Kmarx
W0TDD9	KLMA_40115	orth1	YDR044W	HEM13	Kmarx
W0TDE0	KLMA_50157	orth1	YGL011C	SCL1	Kmarx
W0TDE1	KLMA_60074	orth1	YPL265W	DIP5	Kmarx
W0TDE5	KLMA_60079	orth1	YGR207C	CIR1	Kmarx
W0TDE7	KLMA_50162	orth1	YML069W	POB3	Kmarx
W0TDE8	KLMA_50434	orth1	YPR113W	PIS1	Kmarx
W0TDE9	KLMA_40125	orth1	YDR050C	TPI1	Kmarx
W0TDF2	KLMA_60386	orth1	YPL030W	TRM44	Kmarx
W0TDF3	KLMA_50439	orth1	YGR098C	ESP1	Kmarx
W0TDF8	KLMA_50444	orth1	YGR102C	GTF1	Kmarx
W0TDG1	KLMA_40135	orth1	YLR086W	SMC4	Kmarx
W0TDG9	KLMA_50187	orth1	YOR151C	RPB2	Kmarx
W0TDH0	KLMA_60104	orth1	YDR329C	PEX3	Kmarx
W0TDH2	KLMA_50459	orth1	YBR252W	DUT1	Kmarx
W0TDH6	KLMA_40150	orth1	YDR120C	TRM1	Kmarx
W0TDH9	KLMA_50197	orth1	YGR032W	GSC2	Kmarx
W0TDH9	KLMA_50197	orth2	YLR342W	FKS1	Kmarx
W0TDI6	KLMA_40160	orth1	YDR126W	SWF1	Kmarx
W0TDI7	KLMA_50474	orth1	YFR032C-A	RPL29	Kmarx
W0TDJ4	KLMA_50212	orth1	YGR024C	THG1	Kmarx
W0TDJ8	KLMA_60431	orth1	YER022W	SRB4	Kmarx
W0TDK7	KLMA_50494	orth1	YLR135W	SLX4	Kmarx
W0TDK8	KLMA_40180	orth1	YOR174W	MED4	Kmarx
W0TDK9	KLMA_50227	orth1	YFR028C	CDC14	Kmarx
W0TDL8	KLMA_60451	orth1	YDL052C	SLC1	Kmarx
W0TDN4	KLMA_50257	orth1	YJL156C	SSY5	Kmarx
W0TDN5	KLMA_60164	orth1	YKL087C	CYT2	Kmarx
W0TDN6	KLMA_50524	orth1	YLR148W	PEP3	Kmarx
W0TDN7	KLMA_40210	orth1	YDL225W	SHS1	Kmarx
W0TDP3	KLMA_60476	orth1	YIL078W	THS1	Kmarx
W0TDP8	KLMA_40220	orth1	YMR303C	ADH2	Kmarx
W0TDP8	KLMA_40220	orth2	YOL086C	ADH1	Kmarx
W0TDP9	KLMA_60179	orth1	YKL078W	DHR2	Kmarx
W0TDQ2	KLMA_40225	orth1	YBR153W	RIB7	Kmarx
W0TDR5	KLMA_50554	orth1	YDR180W	SCC2	Kmarx
W0TDR7	KLMA_40240	orth1	YHR089C	GAR1	Kmarx
W0TDS0	KLMA_50297	orth1	YER086W	ILV1	Kmarx
W0TDS1	KLMA_60204	orth1	YDR083W	RRP8	Kmarx
W0TDS4	KLMA_60209	orth1	YOR341W	RPA190	Kmarx
W0TDS6	KLMA_50569	orth1	YDR190C	RVB1	Kmarx
W0TDS7	KLMA_40255	orth1	YJR014W	TMA22	Kmarx
W0TDT2	KLMA_60219	orth1	YAL038W	CDC19	Kmarx
W0TDT8	KLMA_60229	orth1	YNL107W	YAF9	Kmarx
W0TDU3	KLMA_50322	orth1	YDL164C	CDC9	Kmarx
W0TDV2	KLMA_50604	orth1	YNL216W	RAP1	Kmarx
W0TDV5	KLMA_60254	orth1	YNL124W	NAF1	Kmarx
W0TDV7	KLMA_60506	NA	NA	NA	Kmarx
W0TDV8	KLMA_50609	orth1	YNL219C	ALG9	Kmarx
W0TDW1	KLMA_50347	orth1	YHR074W	QNS1	Kmarx
W0TDW2	KLMA_50614	orth1	YNL222W	SSU72	Kmarx
W0TDW4	KLMA_60516	orth1	YDL143W	CCT4	Kmarx
W0TDW5	KLMA_50352	NA	NA	NA	Kmarx
W0TDW6	KLMA_50619	orth1	YNL229C	URE2	Kmarx
W0TDX3	KLMA_60526	orth1	YKL045W	PRI2	Kmarx
